"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Raúl Fernández","FCD","2014","1988","95","24","66","12.6%","26.32","-2.32","0.91"
"","Andy Gruenebaum","SKC","2014","1019","45","10","34","13.3%","12.30","-2.30","0.81"
"","JT Marcinkowski","SJE","2023","1252","54","15","38","7.4%","17.27","-2.27","0.87"
"","Alex Bono","TOR","2017","2760","104","32","72","9.6%","34.23","-2.23","0.94"
"","Stefan Frei","SEA","2022","2679","123","38","85","13.8%","40.17","-2.17","0.95"
"","Alec Kann","ATL","2021","495","31","8","23","16.1%","10.17","-2.17","0.79"
"","Sean Johnson","CHI","2015","2032","90","31","59","16.7%","33.15","-2.15","0.94"
"","Kristijan Kahlina","CLT","2023","2425","111","32","78","8.1%","34.11","-2.11","0.94"
"","Bill Hamid","DCU","2017","2325","132","32","98","18.2%","34.11","-2.11","0.94"
"","Stefan Frei","SEA","2023","3188","105","26","77","18.1%","28.11","-2.11","0.93"
"","Andrew Dykstra","DCU","2015","841","57","16","40","8.8%","18.07","-2.07","0.89"
"","Matt Reis","NER","2013","1086","37","7","29","10.8%","9.06","-2.06","0.77"
"","Logan Ketterer","POR","2021","297","12","3","9","33.3%","4.99","-1.99","0.60"
"","Alec Kann","ATL","2017","1750","83","23","56","18.1%","24.92","-1.92","0.92"
"","Carlos Coronel","PHI","2019","351","11","2","9","0.0%","3.83","-1.83","0.52"
"","Steve Clark","CLB","2016","3101","161","48","112","18.6%","49.81","-1.81","0.96"
"","Jeff Attinella","POR","2018","2128","85","21","64","14.1%","22.77","-1.76","0.92"
"","Brian Rowe","ORL","2020","401","21","5","16","23.8%","6.75","-1.75","0.74"
"","Roman Celentano","CIN","2023","3332","122","35","86","18.0%","36.70","-1.70","0.95"
"","David Bingham","LAG","2019","3257","195","52","141","8.2%","53.65","-1.65","0.97"
"","John McCarthy","PHI","2018","97","6","0","6","16.7%","1.65","-1.65","0.00"
"","Travis Worra","DCU","2016","1251","52","18","34","3.9%","19.62","-1.62","0.92"
"","Nick Rimando","RSL","2017","2685","110","33","73","10.9%","34.60","-1.60","0.95"
"","Andy Gruenebaum","CLB","2013","2047","100","28","71","10.0%","29.57","-1.57","0.95"
"","Nick Rimando","RSL","2016","2925","137","39","91","13.1%","40.57","-1.57","0.96"
"","Alex Bono","DCU","2023","964","39","11","28","25.6%","12.54","-1.54","0.88"
"","Brad Knighton","VAN","2013","1073","50","14","35","14.0%","15.54","-1.54","0.90"
"","Joe Willis","NSH","2020","2232","92","22","69","14.1%","23.52","-1.52","0.94"
"","Stefan Cleveland","SEA","2022","679","37","8","28","8.1%","9.50","-1.50","0.84"
"","Zac MacMath","PHI","2013","3324","147","43","101","15.0%","44.50","-1.50","0.97"
"","Ryan Meara","NYRB","2020","1234","55","16","39","12.7%","17.47","-1.47","0.92"
"","Andre Blake","PHI","2017","2518","125","34","88","11.2%","35.46","-1.46","0.96"
"","Tyler Deric","HOU","2015","3017","139","42","89","15.8%","43.46","-1.46","0.97"
"","Joe Bendik","ORL","2017","3218","173","50","118","9.8%","51.46","-1.46","0.97"
"","Andre Blake","PHI","2014","95","8","1","7","12.5%","2.44","-1.44","0.41"
"","Bill Hamid","DCU","2018","1372","63","12","51","12.7%","13.43","-1.43","0.89"
"","Clément Diop","LAG","2016","193","15","3","11","6.7%","4.41","-1.41","0.68"
"","David Ousted","VAN","2016","3209","163","52","107","15.3%","53.41","-1.41","0.97"
"","Jimmy Maurer","FCD","2020","1520","68","13","54","17.6%","14.41","-1.41","0.90"
"","Maarten Paes","FCD","2023","2916","121","25","94","12.4%","26.39","-1.39","0.95"
"","Eloy Room","CLB","2020","1654","57","15","41","8.8%","16.39","-1.39","0.92"
"","Drake Callender","MIA","2022","2392","116","36","78","12.1%","37.34","-1.34","0.96"
"","Adrián Zendejas","SKC","2019","99","4","1","3","0.0%","2.32","-1.32","0.43"
"","Tim Melia","SKC","2023","1576","69","24","44","8.7%","25.31","-1.31","0.95"
"","Stefan Frei","SEA","2017","3187","121","36","84","13.2%","37.30","-1.30","0.96"
"","Brad Knighton","NER","2016","1242","49","16","31","10.2%","17.30","-1.30","0.92"
"","Clément Diop","MTL","2021","799","32","9","23","34.4%","10.28","-1.28","0.88"
"","Steve Clark","HOU","2022","3237","153","46","104","14.4%","47.28","-1.28","0.97"
"","Nick Rimando","RSL","2018","3202","165","56","103","13.3%","57.27","-1.27","0.98"
"","Jaime Penedo","LAG","2015","1550","69","19","50","17.4%","20.24","-1.24","0.94"
"","Andrew Putna","RSL","2019","493","19","6","12","26.3%","7.23","-1.23","0.83"
"","Daniel Vega","SJE","2019","3372","164","53","108","12.2%","54.22","-1.22","0.98"
"","Stefan Frei","SEA","2020","2175","83","22","60","15.7%","23.20","-1.20","0.95"
"","Clint Irwin","COL","2019","997","58","15","42","12.1%","16.17","-1.17","0.93"
"","Eric Kronberg","SKC","2014","1959","73","22","45","11.0%","23.12","-1.12","0.95"
"","Evan Bush","MTL","2015","3006","142","39","99","16.2%","40.11","-1.11","0.97"
"","Richard Sánchez","CHI","2017","194","15","4","11","20.0%","5.10","-1.10","0.78"
"","Matt Lampson","CLB","2013","1264","63","18","43","11.1%","19.09","-1.09","0.94"
"","Joe Nasco","COL","2014","290","19","6","13","5.3%","7.09","-1.09","0.85"
"","Zac MacMath","VAN","2019","797","52","11","37","11.5%","12.08","-1.08","0.91"
"","Chris Seitz","FCD","2013","774","36","11","24","13.9%","12.06","-1.06","0.91"
"","Jeff Attinella","POR","2020","96","7","3","4","14.3%","4.05","-1.05","0.74"
"","Bill Hamid","DCU","2016","1937","93","25","68","14.0%","26.04","-1.04","0.96"
"","Matt Lampson","CHI","2016","1062","76","18","55","11.8%","19.04","-1.04","0.95"
"","Quentin Westberg","TOR","2020","1964","75","25","48","21.3%","26.03","-1.03","0.96"
"","Andrew Weber","SEA","2013","247","8","3","5","25.0%","4.02","-1.02","0.75"
"","Gabriel Slonina","CHI","2021","1062","60","15","45","20.0%","16.00","-1.00","0.94"
"","Jon Busch","SJE","2013","3224","142","41","101","14.1%","42.00","-1.00","0.98"
"","Zac MacMath","RSL","2023","2746","121","35","83","13.2%","35.98","-0.98","0.97"
"","Stefan Frei","SEA","2016","3181","137","41","91","18.3%","41.96","-0.96","0.98"
"","Chris Brady","CHI","2022","95","5","1","4","0.0%","1.96","-0.96","0.51"
"","Jeff Attinella","POR","2017","1347","64","19","45","9.4%","19.95","-0.95","0.95"
"","Joe Willis","HOU","2018","2590","124","40","82","15.3%","40.95","-0.95","0.98"
"","Evan Bush","MTL","2013","97","7","1","6","42.9%","1.95","-0.95","0.51"
"","Josh Ford","ORL","2015","106","6","1","5","0.0%","1.94","-0.94","0.51"
"","Jacob Jackson","NER","2023","196","13","4","9","23.1%","4.93","-0.93","0.81"
"","Clint Irwin","TOR","2017","530","18","5","13","22.2%","5.91","-0.91","0.85"
"","James Pantemis","MTL","2022","1104","38","11","26","18.4%","11.89","-0.89","0.93"
"","Pedro Gallese","ORL","2021","2200","99","29","67","15.2%","29.82","-0.82","0.97"
"","Isaac Boehmer","VAN","2022","245","12","4","8","25.0%","4.82","-0.82","0.83"
"","Cody Cropper","NER","2016","95","2","0","2","0.0%","0.81","-0.81","0.00"
"","Eric Kronberg","MTL","2015","293","11","5","6","0.0%","5.80","-0.80","0.86"
"","Luka Gavran","TOR","2023","398","32","12","20","12.5%","12.79","-0.79","0.94"
"","Troy Perkins","SEA","2015","341","15","3","12","26.7%","3.79","-0.79","0.79"
"","Brad Stuver","ATX","2021","3277","191","52","136","15.7%","52.76","-0.76","0.99"
"","Luis Robles","NYRB","2016","3342","143","43","100","14.7%","43.76","-0.76","0.98"
"","Joe Bendik","PHI","2021","238","8","3","5","12.5%","3.75","-0.75","0.80"
"","Jesse Gonzalez","FCD","2015","1069","47","10","37","8.5%","10.74","-0.74","0.93"
"","Bobby Shuttleworth","CHI","2020","1672","81","27","53","28.4%","27.72","-0.72","0.97"
"","Max Anchor","VAN","2022","101","6","2","4","33.3%","2.72","-0.72","0.73"
"","Patrick McLain","CHI","2018","428","20","5","13","20.0%","5.71","-0.71","0.88"
"","Sean Johnson","CHI","2013","2719","132","38","93","19.7%","38.70","-0.70","0.98"
"","Jon Kempin","LAG","2017","614","40","13","27","5.0%","13.70","-0.70","0.95"
"","Brian Rowe","LAG","2014","290","13","3","10","0.0%","3.69","-0.69","0.81"
"","Eloy Room","CLB","2019","1199","47","14","33","23.4%","14.68","-0.68","0.95"
"","George Marks","CLT","2023","712","41","12","29","14.6%","12.68","-0.68","0.95"
"","Alex Bono","TOR","2022","2449","126","41","84","12.7%","41.64","-0.64","0.98"
"","Matt Bersano","SJE","2022","151","10","3","6","10.0%","3.61","-0.61","0.83"
"","Joe Willis","HOU","2016","2466","129","39","89","10.8%","39.59","-0.59","0.99"
"","Jake Gleeson","POR","2016","2692","153","39","111","19.6%","39.57","-0.57","0.99"
"","Spencer Richey","SEA","2021","196","5","0","5","40.0%","0.55","-0.55","0.00"
"","Steward Ceus","COL","2013","100","6","1","5","0.0%","1.53","-0.53","0.65"
"","William Yarbrough","COL","2021","3271","142","31","106","14.8%","31.53","-0.53","0.98"
"","John McCarthy","LAFC","2022","101","6","2","4","16.7%","2.51","-0.51","0.80"
"","Andrew Tarbell","SJE","2016","56","2","1","1","50.0%","1.51","-0.51","0.66"
"","Brad Knighton","NER","2018","684","46","12","33","10.9%","12.49","-0.49","0.96"
"","Paolo Tornaghi","VAN","2016","95","6","0","6","0.0%","0.49","-0.49","0.00"
"","Stefan Frei","SEA","2021","1661","62","15","44","21.0%","15.48","-0.48","0.97"
"","Andrew Putna","RSL","2018","156","7","1","6","0.0%","1.46","-0.46","0.69"
"","Andrew Weber","POR","2014","174","14","7","7","14.3%","7.46","-0.46","0.94"
"","David Bingham","SJE","2013","96","8","1","7","12.5%","1.46","-0.46","0.69"
"","Mason Stajduhar","ORL","2022","195","14","5","9","14.3%","5.42","-0.42","0.92"
"","Joe Cannon","VAN","2013","974","42","11","31","33.3%","11.41","-0.41","0.96"
"","Bobby Edwards","CIN","2020","199","6","3","3","16.7%","3.38","-0.38","0.89"
"","Alex Roldan","SEA","2021","5","1","0","1","100.0%","0.37","-0.37","0.00"
"","Brian Rowe","LAG","2013","387","19","4","14","10.5%","4.37","-0.37","0.92"
"","Elliot Panicco","NSH","2023","198","9","1","8","11.1%","1.36","-0.36","0.74"
"","David Ousted","CHI","2019","1373","56","20","34","21.4%","20.35","-0.35","0.98"
"","Jalil Anibaba","HOU","2016","14","2","0","2","0.0%","0.34","-0.34","0.00"
"","Carlos Joaquim dos Santos","MIA","2023","97","4","1","3","0.0%","1.33","-0.33","0.75"
"","Eirik Holmen Johansen","NYC","2016","97","6","1","5","16.7%","1.32","-0.32","0.76"
"","Matt Freese","NYC","2023","1003","37","8","29","8.1%","8.31","-0.31","0.96"
"","Maxime Crépeau","LAFC","2023","702","17","6","11","23.5%","6.31","-0.31","0.95"
"","Patrick McLain","CHV","2013","134","7","3","4","28.6%","3.30","-0.30","0.91"
"","Stefan Frei","TOR","2013","95","3","1","2","33.3%","1.28","-0.28","0.78"
"","Spencer Richey","CHI","2022","103","4","2","2","25.0%","2.28","-0.28","0.88"
"","Clément Diop","MTL","2019","197","7","1","6","0.0%","1.28","-0.28","0.78"
"","Andrew Tarbell","HOU","2023","100","4","0","4","0.0%","0.27","-0.27","0.00"
"","Zack Steffen","CLB","2019","1283","56","17","39","23.2%","17.27","-0.27","0.98"
"","Tyler Miller","SEA","2017","97","8","3","5","12.5%","3.27","-0.27","0.92"
"","Marcus Hahnemann","SEA","2013","391","10","4","6","20.0%","4.24","-0.24","0.94"
"","Ryan Meara","NYRB","2019","101","5","1","4","40.0%","1.24","-0.24","0.81"
"","Jeff Attinella","POR","2021","185","5","1","4","0.0%","1.23","-0.23","0.81"
"","John McCarthy","PHI","2016","96","5","2","3","40.0%","2.22","-0.22","0.90"
"","Ryan Meara","NYC","2015","97","7","1","6","14.3%","1.20","-0.20","0.83"
"","Alec Kann","CHI","2015","96","8","2","6","12.5%","2.20","-0.20","0.91"
"","James Pantemis","MTL","2020","294","24","7","17","8.3%","7.19","-0.19","0.97"
"","Phelipe","FCD","2020","98","9","3","6","11.1%","3.17","-0.17","0.95"
"","Thomas Hasal","VAN","2023","101","7","2","5","0.0%","2.17","-0.17","0.92"
"","Dan Kennedy","LAG","2016","129","7","3","4","14.3%","3.17","-0.17","0.95"
"","Greg Ranjitsingh","ORL","2019","204","7","3","4","42.9%","3.17","-0.17","0.95"
"","Patrick McLain","CHI","2016","98","6","3","3","33.3%","3.16","-0.16","0.95"
"","Tyler Deric","HOU","2017","2546","109","30","76","17.4%","30.16","-0.16","0.99"
"","David Jensen","NYRB","2020","1022","41","14","25","17.1%","14.14","-0.14","0.99"
"","Michael Gspurning","SEA","2013","2680","114","35","76","19.3%","35.12","-0.12","1.00"
"","Matt Freese","PHI","2020","101","1","0","1","100.0%","0.12","-0.12","0.00"
"","Matt Freese","PHI","2019","480","23","7","13","17.4%","7.10","-0.10","0.99"
"","Jeff Attinella","RSL","2016","395","13","5","8","7.7%","5.09","-0.09","0.98"
"","Alec Kann","ATL","2018","98","6","1","5","33.3%","1.09","-0.09","0.92"
"","Ryan Meara","NYRB","2018","300","16","3","12","0.0%","3.08","-0.08","0.98"
"","Tim Melia","SKC","2021","2777","100","33","67","18.0%","33.08","-0.08","1.00"
"","David Bingham","SJE","2017","2211","94","33","58","19.1%","33.04","-0.04","1.00"
"","Travis Worra","DCU","2015","39","1","0","1","0.0%","0.03","-0.03","0.00"
"","Ryan Hollingshead","FCD","2016","7","1","0","1","0.0%","0.02","-0.02","0.00"
"","Kyle Reynish","CHI","2014","96","4","2","2","25.0%","2.01","-0.01","0.99"
"","Jesse Gonzalez","FCD","2019","3200","128","42","84","11.7%","42.00","-0.00","1.00"
"","José Gonçalves","NER","2016","0","0","0","0","0.0%","0.00","0.00","0.00"
"","Justin Rasmussen","POR","2023","1","0","0","0","0.0%","0.00","0.00","0.00"
"","Stefan Cleveland","CHI","2018","487","33","8","25","12.1%","8.00","0.00","1.00"
"","Bobby Shuttleworth","MIN","2017","3080","174","57","116","17.2%","56.98","0.02","1.00"
"","Trevor Spangenberg","CHV","2014","25","2","1","1","0.0%","0.95","0.05","1.05"
"","Matt Lampson","LAG","2019","98","7","4","3","28.6%","3.94","0.06","1.02"
"","Gabriel Slonina","CHI","2022","3181","126","44","80","13.5%","43.94","0.06","1.00"
"","JT Marcinkowski","SJE","2018","487","32","11","20","18.8%","10.94","0.06","1.01"
"","Aljaz Ivacic","POR","2021","464","32","12","20","21.9%","11.93","0.07","1.01"
"","Josh Saunders","RSL","2013","253","18","4","13","5.6%","3.93","0.07","1.02"
"","Zac MacMath","RSL","2020","588","21","7","14","4.8%","6.92","0.08","1.01"
"","Jimmy Maurer","FCD","2019","199","12","4","8","8.3%","3.91","0.09","1.02"
"","Marko Maric","HOU","2020","2270","122","39","79","15.6%","38.91","0.09","1.00"
"","Maxime Crépeau","VAN","2020","367","22","10","12","18.2%","9.91","0.09","1.01"
"","Tomás Romero","TOR","2023","601","35","12","23","5.7%","11.91","0.09","1.01"
"","Alex Bono","TOR","2019","609","28","11","16","14.3%","10.91","0.09","1.01"
"","William Yarbrough","COL","2020","1384","69","19","48","2.9%","18.90","0.10","1.01"
"","Alex Tambakis","ATL","2017","36","3","2","1","66.7%","1.89","0.11","1.06"
"","Joe Willis","NSH","2023","3210","130","30","98","10.8%","29.88","0.12","1.00"
"","Chris Seitz","DCU","2019","98","3","1","2","0.0%","0.88","0.12","1.14"
"","David Bingham","POR","2022","197","13","3","10","15.4%","2.86","0.14","1.05"
"","Stefan Cleveland","SEA","2023","203","8","4","4","12.5%","3.83","0.17","1.04"
"","Abraham Rodriguez","COL","2023","100","5","1","4","20.0%","0.83","0.17","1.21"
"","Brad Knighton","NER","2022","398","20","7","13","15.0%","6.81","0.19","1.03"
"","Adam Grinwis","ORL","2018","486","20","6","14","5.0%","5.81","0.19","1.03"
"","Vito Mannone","MIN","2019","3356","175","43","129","10.9%","42.81","0.19","1.00"
"","Joe Bendik","ORL","2016","3331","178","59","114","15.2%","58.79","0.21","1.00"
"","Brad Knighton","NER","2020","97","6","1","5","16.7%","0.79","0.21","1.26"
"","Brad Knighton","NER","2017","584","31","11","20","25.8%","10.77","0.23","1.02"
"","Sean Johnson","NYC","2021","2861","115","30","84","12.2%","29.77","0.23","1.01"
"","Jon Kempin","SKC","2015","288","11","5","6","18.2%","4.76","0.24","1.05"
"","Bryan Meredith","VAN","2020","292","27","7","20","22.2%","6.74","0.26","1.04"
"","Joe Willis","NSH","2021","3336","132","31","100","19.7%","30.72","0.28","1.01"
"","Andrew Dykstra","DCU","2014","391","9","3","6","11.1%","2.72","0.28","1.10"
"","Connor Sparrow","CHI","2020","98","7","3","4","0.0%","2.69","0.31","1.12"
"","Tyler Miller","SEA","2016","98","4","2","2","50.0%","1.68","0.32","1.19"
"","Brad Stuver","NYC","2019","507","14","4","10","14.3%","3.68","0.32","1.09"
"","Zac MacMath","PHI","2014","2822","125","44","77","12.0%","43.67","0.33","1.01"
"","Andre Blake","PHI","2018","3217","169","49","117","13.6%","48.66","0.34","1.01"
"","Patrick Schulte","CLB","2023","3132","135","42","90","16.3%","41.66","0.34","1.01"
"","Tyler Miller","MIN","2021","2958","134","32","101","14.9%","31.66","0.34","1.01"
"","Evan Bush","MTL","2016","3166","155","50","101","20.6%","49.65","0.35","1.01"
"","Elliot Panicco","NSH","2022","194","10","3","7","40.0%","2.65","0.35","1.13"
"","Jesse Gonzalez","FCD","2020","200","5","2","3","20.0%","1.62","0.38","1.23"
"","Evan Bush","MTL","2014","1262","79","23","52","11.4%","22.62","0.38","1.02"
"","Earl Edwards Jr.","ORL","2018","428","26","10","15","15.4%","9.62","0.38","1.04"
"","Pedro Gallese","ORL","2020","1903","72","19","53","20.8%","18.59","0.41","1.02"
"","Chris Seitz","FCD","2017","486","20","8","12","10.0%","7.58","0.42","1.06"
"","Brian Sylvestre","PHI","2015","1157","51","19","31","13.7%","18.57","0.43","1.02"
"","Bobby Shuttleworth","NER","2015","3008","125","41","78","12.8%","40.56","0.44","1.01"
"","Zack Steffen","CLB","2017","3303","150","49","98","15.3%","48.55","0.45","1.01"
"","Luis Barraza","NYC","2021","505","12","5","7","0.0%","4.54","0.46","1.10"
"","Daniel Vega","SJE","2021","99","1","1","0","0.0%","0.53","0.47","1.87"
"","Tyler Miller","MIN","2022","245","11","3","8","18.2%","2.52","0.48","1.19"
"","Jimmy Maurer","FCD","2022","203","8","3","5","25.0%","2.51","0.49","1.19"
"","Brian Perk","LAG","2014","193","3","1","2","0.0%","0.50","0.50","2.00"
"","Jamal Blackman","LAFC","2021","812","35","13","21","14.3%","12.50","0.50","1.04"
"","Kyle Reynish","ATL","2017","162","5","3","2","0.0%","2.50","0.50","1.20"
"","Marko Maric","HOU","2021","2188","104","32","68","18.3%","31.49","0.51","1.02"
"","Pablo Sisniega","LAFC","2019","580","26","8","17","15.4%","7.49","0.51","1.07"
"","Chris Brady","CHI","2023","2933","138","42","92","19.6%","41.48","0.52","1.01"
