PLAYER_ID,NAME,SEASON,Base,Total
1,Hany Mukhtar,2022,"1,637,500.00  $","1,926,250.00  $"
2,Daniel Gazdag,2022,"550,000.00  $","586,250.00  $"
3,Luciano Acosta,2022,"1,943,500.00  $","2,222,850.00  $"
4,Cristian Arango,2022,"624,000.00  $","683,000.00  $"
5,Brandon Vázquez,2022,"275,000.00  $","517,500.00  $"
6,Romell Quioto,2022,"800,000.00  $","885,000.00  $"
7,Jeremy Ebobisse,2022,"620,734.00  $","766,617.00  $"
8,Carles Gil,2022,"3,250,000.00  $","3,545,830.00  $"
9,Sebastián Driussi,2022,"2,200,000.00  $","2,317,000.00  $"
10,Chicharito,2022,"6,000,000.00  $","7,443,750.00  $"
11,Diego Rubio,2022,"585,000.00  $","629,583.00  $"
12,Taty Castellanos,2022,"900,000.00  $","1,076,000.00  $"
13,Carlos Vela,2022,"2,250,000.00  $","4,050,000.00  $"
14,Julián Carranza,2022,"900,000.00  $","900,000.00  $"
15,Jesús Ferreira,2022,"1,300,000.00  $","1,499,000.00  $"
16,Brenner,2022,"1,680,000.00  $","2,218,600.00  $"
17,Cristian Espinoza,2022,"1,150,000.00  $","1,265,000.00  $"
18,Emanuel Reynoso,2022,"850,000.00  $","1,066,910.00  $"
19,Gyasi Zardes,2022,"1,500,000.00  $","1,550,000.00  $"
20,Talles Magno,2022,"950,000.00  $","1,198,000.00  $"
21,Lewis Morgan,2022,"650,000.00  $","653,125.00  $"
22,Santiago Rodríguez,2022,"612,500.00  $","612,500.00  $"
23,Thiago Almada,2022,"1,650,000.00  $","2,332,000.00  $"
24,Gonzalo Higuaín,2022,"5,100,000.00  $","5,793,750.00  $"
25,Alejandro Pozuelo,2022,"3,800,000.00  $","4,693,000.00  $"
26,Xherdan Shaqiri,2022,"7,350,000.00  $","8,153,000.00  $"
27,Carlos Ferreira,2022,"1,600,000.00  $","1,970,200.00  $"
28,Luiz Araújo,2022,"3,600,000.00  $","4,480,330.00  $"
29,Ryan Gauld,2022,"2,160,000.00  $","2,265,000.00  $"
30,Jordan Morris,2022,"1,250,000.00  $","1,370,100.00  $"
31,Luis Amarilla,2022,"650,000.00  $","785,000.00  $"
32,Santiago Moreno,2022,"300,000.00  $","344,576.00  $"
33,Lucas Zelarayán,2022,"3,100,000.00  $","3,700,000.00  $"
34,Paul Arriola,2022,"1,100,000.00  $","1,130,000.00  $"
35,Darwin Quintero,2022,"600,000.00  $","661,250.00  $"
36,Nicolás Lodeiro,2022,"2,640,000.00  $","3,256,670.00  $"
37,Karol Swiderski,2022,"2,200,000.00  $","2,258,000.00  $"
38,Jesús Jiménez,2022,"815,000.00  $","934,927.00  $"
39,Johnny Russell,2022,"2,000,000.00  $","2,000,000.00  $"
40,Djordje Mihailovic,2022,"700,000.00  $","751,875.00  $"
41,Sergio Córdova,2022,"600,000.00  $","696,000.00  $"
42,C.J. Sapong,2022,"550,000.00  $","550,000.00  $"
43,Patryk Klimala,2022,"1,000,000.00  $","1,135,000.00  $"
44,Ercan Kara,2022,"1,860,000.00  $","1,860,000.00  $"
45,Dairon Asprilla,2022,"350,000.00  $","352,500.00  $"
46,Sebastián Blanco,2022,"1,340,000.00  $","1,708,000.00  $"
47,Diego Fagundez,2022,"450,000.00  $","450,000.00  $"
48,Ola Kamara,2022,"1,500,000.00  $","1,520,000.00  $"
49,Kwadwo Opoku,2022,"92,000.00  $","133,095.00  $"
50,Ronaldo Cisneros,2022,"244,000.00  $","244,000.00  $"
51,Fafa Picault,2022,"600,000.00  $","600,000.00  $"
52,Maximiliano Morález,2022,"670,000.00  $","1,300,000.00  $"
53,José Cifuentes,2022,"367,875.00  $","411,750.00  $"
54,Mikael Uhre,2022,"1,400,000.00  $","1,666,250.00  $"
55,Michael Barrios,2022,"650,000.00  $","680,000.00  $"
56,Dániel Sallói,2022,"450,000.00  $","506,667.00  $"
57,Dejan Joveljic,2022,"612,500.00  $","612,500.00  $"
58,Leonardo Campana,2022,"84,000.00  $","135,680.00  $"
59,Jhon Durán,2022,"120,000.00  $","167,000.00  $"
60,Josef Martínez,2022,"3,750,000.00  $","4,141,670.00  $"
61,Derrick Etienne,2022,"175,000.00  $","175,000.00  $"
62,Robin Lod,2022,"849,996.00  $","952,496.00  $"
63,Yimmi Chará,2022,"1,500,000.00  $","1,803,000.00  $"
64,Facundo Torres,2022,"600,000.00  $","953,200.00  $"
65,Franco Fragapane,2022,"249,996.00  $","257,496.00  $"
66,Jaroslaw Niezgoda,2022,"807,500.00  $","976,758.00  $"
