,Player_ID,Season,Base Salary,Guaranteed Compensation
89,Ryan-Gauld-2023-1,2023,"$2,400,000","$2,505,000"
90,Nani-2021-1,2021,"$2,333,333","$2,486,250"
91,Nani-2021-1,2021,"$2,333,333","$2,486,250"
92,Gareth-Bale-2022-1,2022,"$1,600,000","$2,386,667"
93,Gastón-Giménez-2022-1,2022,"$2,060,000","$2,360,667"
94,Gastón-Giménez-2022-1,2022,"$2,060,000","$2,360,667"
95,Gastón-Giménez-2021-1,2021,"$2,058,000","$2,358,667"
96,Gastón-Giménez-2021-1,2021,"$2,058,000","$2,358,667"
97,Ezequiel-Barco-2021-1,2021,"$1,875,000","$2,358,333"
98,Albert-Rusnák-2021-1,2021,"$2,150,000","$2,351,667"
99,Albert-Rusnák-2021-1,2021,"$2,150,000","$2,351,667"
100,Carlos-Salcedo-2022-1,2022,"$2,200,000","$2,351,000"
101,Walker-Zimmerman-2022-1,2022,"$2,088,235","$2,345,214"
102,Thiago-Almada-2022-1,2022,"$1,650,000","$2,332,000"
103,Thiago-Almada-2022-1,2022,"$1,650,000","$2,332,000"
104,Thiago-Almada-2023-1,2023,"$1,650,000","$2,332,000"
105,Sebastián-Driussi-2022-1,2022,"$2,200,000","$2,317,000"
106,Sebastián-Driussi-2022-1,2022,"$2,200,000","$2,317,000"
107,Sebastián-Blanco-2021-1,2021,"$2,200,000","$2,313,333"
108,Sebastián-Blanco-2021-1,2021,"$2,200,000","$2,313,333"
109,Emiliano-Rigoni-2022-1,2022,"$1,846,152","$2,294,152"
110,Ryan-Gauld-2022-1,2022,"$2,160,000","$2,265,000"
111,Ryan-Gauld-2022-1,2022,"$2,160,000","$2,265,000"
112,Karol-Swiderski-2022-1,2022,"$2,200,000","$2,258,000"
113,Karol-Swiderski-2022-1,2022,"$2,200,000","$2,258,000"
114,Karol-Swiderski-2023-1,2023,"$2,200,000","$2,258,000"
115,Evander-2023-1,2023,"$1,885,000","$2,230,000"
116,Jefferson-Savarino-2022-1,2022,"$2,000,000","$2,224,292"
117,Luciano-Acosta-2021-1,2021,"$1,943,500","$2,222,854"
118,Luciano-Acosta-2021-1,2021,"$1,943,500","$2,222,854"
119,Luciano-Acosta-2022-1,2022,"$1,943,500","$2,222,854"
120,Luciano-Acosta-2022-1,2022,"$1,943,500","$2,222,854"
121,Brenner-2022-1,2022,"$1,680,000","$2,218,600"
122,Brenner-2022-1,2022,"$1,680,000","$2,218,600"
123,Brenner-2023-1,2023,"$1,680,000","$2,218,600"
124,,2022,"$2,200,000","$2,200,000"
125,,2022,"$2,200,000","$2,200,000"
126,,2023,"$2,200,000","$2,200,000"
127,Alan-Pulido-2021-1,2021,"$2,200,000","$2,200,000"
128,Alan-Pulido-2021-1,2021,"$2,200,000","$2,200,000"
129,,2022,"$2,200,000","$2,200,000"
130,,2022,"$2,200,000","$2,200,000"
131,Alan-Pulido-2023-1,2023,"$2,200,000","$2,200,000"
132,Luciano-Acosta-2023-1,2023,"$1,943,500","$2,166,983"
133,Emanuel-Reynoso-2023-1,2023,"$1,600,000","$2,151,200"
134,Carlos-Ferreira-2023-1,2023,"$1,760,000","$2,130,200"
135,Gustavo-Bou-2021-1,2021,"$2,120,000","$2,120,000"
136,Gustavo-Bou-2021-1,2021,"$2,120,000","$2,120,000"
137,Thiago-Martins-2023-1,2023,"$1,650,000","$2,112,000"
138,Raúl-Ruidíaz-2021-1,2021,"$2,100,000","$2,100,000"
139,Raúl-Ruidíaz-2021-1,2021,"$2,100,000","$2,100,000"
140,Mateusz-Klich-2023-1,2023,"$1,900,000","$2,093,588"
141,Denis-Bouanga-2022-1,2022,"$2,083,333","$2,083,333"
142,Denis-Bouanga-2023-1,2023,"$2,083,333","$2,083,333"
143,Walker-Zimmerman-2023-1,2023,"$1,800,000","$2,056,979"
144,Ercan-Kara-2023-1,2023,"$1,860,000","$2,053,601"
145,Emiliano-Rigoni-2023-1,2023,"$1,599,996","$2,047,996"
146,Ryan-Gauld-2021-1,2021,"$1,920,000","$2,025,000"
147,Johnny-Russell-2022-1,2022,"$2,000,000","$2,000,000"
148,Johnny-Russell-2022-1,2022,"$2,000,000","$2,000,000"
149,Jonathan-dos-Santos-2021-1,2021,"$2,000,000","$2,000,000"
150,Jonathan-dos-Santos-2021-1,2021,"$2,000,000","$2,000,000"
151,Lucas-Zelarayán-2021-1,2021,"$1,620,000","$1,985,000"
152,Lucas-Zelarayán-2021-1,2021,"$1,620,000","$1,985,000"
153,Carlos-Ferreira-2022-1,2022,"$1,600,000","$1,970,200"
154,Carlos-Ferreira-2022-1,2022,"$1,600,000","$1,970,200"
155,Yeferson-Soteldo-2021-1,2021,"$1,500,000","$1,965,000"
156,Thiago-Martins-2022-1,2022,"$1,500,000","$1,962,000"
157,Thiago-Martins-2022-1,2022,"$1,500,000","$1,962,000"
158,Mikael-Uhre-2023-1,2023,"$1,700,000","$1,940,000"
159,Hany-Mukhtar-2022-1,2022,"$1,637,500","$1,926,250"
160,Albert-Rusnák-2022-1,2022,"$1,800,000","$1,871,667"
161,Albert-Rusnák-2022-1,2022,"$1,800,000","$1,871,667"
162,Albert-Rusnák-2023-1,2023,"$1,800,000","$1,871,667"
163,Ercan-Kara-2022-1,2022,"$1,860,000","$1,860,000"
164,Ercan-Kara-2022-1,2022,"$1,860,000","$1,860,000"
165,Jesús-Ferreira-2023-1,2023,"$1,650,000","$1,852,000"
166,Mauricio-Pereyra-2021-1,2021,"$1,800,000","$1,848,000"
167,Giacomo-Vrioni-2023-1,2023,"$1,600,000","$1,847,500"
168,Yimmi-Chará-2022-1,2022,"$1,500,000","$1,803,000"
