,Team,Season,Games,ShtF,ShtA,GF,GA,Pts,TeamID
117,MIN,2022,34,421,473,46,47,48,MIN2022
118,LAG,2021,34,433,487,47,52,48,LAG2021
119,MIA,2022,34,379,470,46,55,48,MIA2022
120,ORL,2022,34,408,410,42,52,48,ORL2022
121,PHI,2020,23,297,267,43,20,47,PHI2020
122,DCU,2021,34,451,387,55,49,47,DCU2021
123,SKC,2016,34,478,323,42,38,47,SKC2016
124,SJE,2015,34,405,399,41,38,47,SJE2015
125,RSL,2022,34,436,410,43,45,47,RSL2022
126,CLB,2021,34,397,473,41,45,47,CLB2021
127,VAN,2018,34,419,516,53,64,47,VAN2018
128,FCD,2023,34,341,443,41,33,46,FCD2023
129,CLB,2022,34,447,388,46,39,46,CLB2022
130,DCU,2016,34,471,452,53,47,46,DCU2016
131,MTL,2021,34,396,412,45,42,46,MTL2021
132,POR,2022,34,440,504,52,51,46,POR2022
133,FCD,2017,34,481,375,48,48,46,FCD2017
134,PHI,2013,34,459,434,42,43,46,PHI2013
135,RSL,2016,34,420,427,42,44,46,RSL2016
136,MTL,2018,34,424,440,45,50,46,MTL2018
137,SJE,2017,34,469,450,39,58,46,SJE2017
138,LAFC,2021,34,521,356,51,51,45,LAFC2021
139,MTL,2016,34,440,463,49,53,45,MTL2016
140,RSL,2017,34,548,420,49,54,45,RSL2017
141,NER,2017,34,434,418,53,61,45,NER2017
142,NER,2019,34,455,504,49,57,45,NER2019
143,TOR,2020,23,290,236,33,25,44,TOR2020
144,SJE,2019,34,595,445,50,53,44,SJE2019
145,FCD,2013,34,430,438,46,49,44,FCD2013
146,POR,2016,34,449,492,48,51,44,POR2016
147,SKC,2023,34,446,385,47,51,44,SKC2023
148,SJE,2023,34,412,471,38,43,44,SJE2023
149,ORL,2015,34,382,434,41,55,44,ORL2015
150,NYRB,2023,34,469,244,35,37,43,NYRB2023
151,CLT,2023,34,346,414,43,50,43,CLT2023
152,POR,2023,34,411,406,45,55,43,POR2023
153,COL,2022,34,448,452,46,57,43,COL2022
154,VAN,2022,34,387,476,40,57,43,VAN2022
155,CHI,2019,34,479,380,53,47,42,CHI2019
156,PHI,2017,34,386,424,49,47,42,PHI2017
