,Player_ID,Season,Base Salary,Guaranteed Compensation
464,Darwin-Quintero-2019-1,2019,1750000,1750000
466,Jefferson-Savarino-2023-1,2023,1525000,1749292
469,Sebastián-Blanco-2023-1,2023,1380000,1748000
471,Giacomo-Vrioni-2022-1,2022,1500000,1747500
472,Nicolás-Lodeiro-2017-1,2017,1371429,1743429
474,Nicolás-Lodeiro-2016-1,2016,1371429,1743429
475,Taxiarchis-Fountas-2023-1,2023,1700000,1741000
476,Fanendo-Adi-2017-1,2017,1190004,1736254
478,Cecilio-Domínguez-2021-1,2021,1530000,1736000
480,Cecilio-Domínguez-2022-1,2022,1530000,1736000
481,Edison-Flores-2020-1,2020,1600000,1733000
482,Edison-Flores-2021-1,2021,1600000,1733000
484,Edison-Flores-2022-1,2022,1600000,1733000
485,Riqui-Puig-2023-1,2023,1650000,1732500
487,Paul-Arriola-2023-1,2023,1550000,1729400
489,Cristian-Tello-2022-1,2022,1333333,1725069
490,Obafemi-Martins-2013-1,2013,1600000,1725000
493,Borek-Dockal-2018-1,2018,1714286,1714286
495,Darlington-Nagbe-2021-1,2021,1710000,1710000
497,Sebastián-Blanco-2022-1,2022,1340000,1708000
499,Johnny-Russell-2019-1,2019,1700000,1700000
500,Riqui-Puig-2022-1,2022,1612500,1695000
501,Shkëlzen-Gashi-2016-1,2016,1575000,1668750
503,Shkëlzen-Gashi-2017-1,2017,1575000,1668750
505,Shkëlzen-Gashi-2018-1,2018,1575000,1668750
507,Mikael-Uhre-2022-1,2022,1400000,1666250
508,Danny-Koevermans-2013-1,2013,1250000,1663323
511,Erik-Thommy-2023-1,2023,1550000,1656250
513,Kevin-Cabral-2022-1,2022,1650000,1650000
515,Felipe-Gutiérrez-2018-1,2018,1600000,1650000
517,Felipe-Gutiérrez-2019-1,2019,1600000,1650000
520,Darwin-Quintero-2018-1,2018,1650000,1650000
522,Damir-Kreilach-2023-1,2023,1650000,1650000
524,Clint-Dempsey-2018-1,2018,1100000,1650000
525,Taxiarchis-Fountas-2022-1,2022,1600000,1646000
527,Alexander-Ring-2022-1,2022,1500000,1640000
529,Alexander-Ring-2023-1,2023,1500000,1640000
532,Dom-Dwyer-2020-1,2020,1452000,1635333
533,Bradley-Wright-Phillips-2017-1,2017,1500000,1635000
535,Bradley-Wright-Phillips-2018-1,2018,1500000,1635000
537,Gastón-Giménez-2023-1,2023,1600000,1633333
539,Roman-Bürki-2023-1,2023,1500000,1632469
541,Valeri-Qazaishvili-2019-1,2019,1475004,1604042
543,Maximiliano-Urruti-2020-1,2020,1400000,1601000
544,Johnny-Russell-2021-1,2021,1600000,1600000
546,Shaun-Maloney-2015-1,2015,1550000,1586000
547,Jürgen-Damm-2021-1,2021,1290000,1582509
550,Carlos-Gruezo-2023-1,2023,1350000,1571086
552,Ashley-Fletcher-2022-1,2022,1350000,1569750
553,Jordan-Morris-2023-1,2023,1550000,1560000
557,Johnny-Russell-2020-1,2020,1550000,1550000
559,Bojan-2019-1,2019,1232877,1532449
560,Nemanja-Radoja-2023-1,2023,1440000,1530000
561,Darlington-Nagbe-2020-1,2020,1530000,1530000
562,Ola-Kamara-2022-1,2022,1500000,1520000
564,Kenny-Saief-2019-1,2019,1233000,1511767
565,Domenico-Criscito-2022-1,2022,1200000,1510000
566,Hany-Mukhtar-2021-1,2021,1505000,1505000
568,Dom-Dwyer-2019-1,2019,1320000,1503333
570,Yimmi-Chará-2021-1,2021,1200000,1503000
571,Matt-Miazga-2023-1,2023,1500000,1500000
573,Víctor-Vázquez-2018-1,2018,1365000,1500000
575,Cristian-Pavón-2020-1,2020,1500000,1500000
576,Zlatan-Ibrahimovic-2018-1,2018,1500000,1500000
578,Blaise-Matuidi-2021-1,2021,1500000,1500000
582,Michael-Bradley-2020-1,2020,1500000,1500000
583,Michael-Bradley-2021-1,2021,1500000,1500000
585,Michael-Bradley-2022-1,2022,1500000,1500000
587,Jesús-Ferreira-2022-1,2022,1300000,1499000
589,Aké-Arnaud-Loba-2022-1,2022,1250000,1491475
591,Jürgen-Damm-2020-1,2020,1193251,1485761
592,Jamiro-Monteiro-2020-1,2020,1300000,1476250
593,Jamiro-Monteiro-2021-1,2021,1300000,1476250
596,Pedro-Morales-2016-1,2016,1232500,1471400
597,Jairo-Torres-2023-1,2023,1100004,1469337
599,Matt-Miazga-2022-1,2022,1464000,1464000
600,Lucas-Cavallini-2022-1,2022,1200000,1462500
602,Dante-Vanzeir-2023-1,2023,1320000,1459767
604,Juan-Manuel-Martínez-2016-1,2016,1060000,1458667
606,Nélson-Haedo-Valdez-2016-1,2016,1200000,1455000
608,Valeri-Qazaishvili-2017-1,2017,1325004,1454042
609,Valeri-Qazaishvili-2018-1,2018,1325004,1454042
612,Omar-González-2015-1,2015,1200000,1450000
614,Cristian-Roldan-2023-1,2023,1320000,1441000
616,Kevin-Cabral-2021-1,2021,1440000,1440000
618,Miles-Robinson-2023-1,2023,1400000,1437500
621,Rafael-Navarro-2023-1,2023,1100000,1427708
622,Ezequiel-Barco-2018-1,2018,1425000,1425000
624,Ezequiel-Barco-2019-1,2019,1425000,1425000
626,Ezequiel-Barco-2020-1,2020,1425000,1425000
628,Pedro-Morales-2014-1,2014,1190000,1410900
630,Pedro-Morales-2015-1,2015,1190000,1410900
632,Gastón-Brugman-2022-1,2022,1200000,1409000
633,Gastón-Brugman-2023-1,2023,1200000,1409000
635,Alan-Velasco-2023-1,2023,1200000,1401000
637,Gyasi-Zardes-2021-1,2021,1350000,1400000
639,Saphir-Taïder-2019-1,2019,1400000,1400000
641,Jonathan-Osorio-2023-1,2023,1400000,1400000
643,Hany-Mukhtar-2020-1,2020,1397500,1397500
644,Yimmi-Chará-2020-1,2020,1200000,1392000
646,Josef-Martínez-2018-1,2018,1270008,1387318
648,Dom-Dwyer-2018-1,2018,1200000,1383333
650,João-Paulo-2023-1,2023,1300000,1383333
652,Aleksandar-Katai-2019-1,2019,1260000,1380333
654,Bradley-Wright-Phillips-2019-1,2019,1200000,1380000
656,Sebastián-Blanco-2018-1,2018,1300008,1375008
659,Lewis-Morgan-2023-1,2023,1200000,1375000
661,Klauss-2023-1,2023,1230000,1370284
663,Michael-Mancienne-2018-1,2018,1284768,1370268
664,Jordan-Morris-2022-1,2022,1250000,1370100
666,Kellyn-Acosta-2023-1,2023,1250000,1365000
668,Lucas-Cavallini-2021-1,2021,1100000,1362500
670,Daniel-Gazdag-2023-1,2023,1200000,1355000
672,Darwin-Quintero-2020-1,2020,1352055,1352055
673,Darwin-Quintero-2021-1,2021,1352055,1352055
675,Gyasi-Zardes-2020-1,2020,1300000,1350000
676,Damir-Kreilach-2021-1,2021,1200000,1350000
678,Mauricio-Pereyra-2022-1,2022,1100000,1348000
680,Mauro-Manotas-2020-1,2020,1200000,1345000
681,Eduard-Löwen-2023-1,2023,1200000,1344250
683,Rafael-Czichos-2022-1,2022,1300000,1336667
685,Rafael-Czichos-2023-1,2023,1300000,1336667
687,Blaise-Matuidi-2020-1,2020,1333332,1333332
688,Johnny-Russell-2018-1,2018,1331579,1331579
689,Santiago-Rodríguez-2023-1,2023,1200000,1331333
691,Aleksandar-Katai-2018-1,2018,1200000,1320333
692,Aké-Arnaud-Loba-2021-1,2021,1077000,1318475
693,Erik-Thommy-2022-1,2022,1200000,1306250
694,Alan-Velasco-2022-1,2022,1100000,1305000
697,Innocent-Emeghara-2015-1,2015,988000,1300000
698,Innocent-Emeghara-2016-1,2016,988000,1300000
700,Maximiliano-Morález-2022-1,2022,670000,1300000
702,Ager-Aketxe-2018-1,2018,1190000,1295000
704,Jamiro-Monteiro-2022-1,2022,1200000,1293500
706,Jamiro-Monteiro-2023-1,2023,1200000,1293500
708,Andreas-Maxsø-2023-1,2023,1100000,1292500
710,Obinna-Nwobodo-2023-1,2023,1155000,1289400
712,Teenage-Hadebe-2023-1,2023,1122900,1288077
714,Siem-de-Jong-2020-1,2020,1157556,1287556
715,João-Paulo-2022-1,2022,1200000,1283333
717,Damir-Kreilach-2020-1,2020,1168769,1282102
718,Eduard-Atuesta-2021-1,2021,550000,1278000
719,André-Horta-2019-1,2019,1200000,1277500
720,Ali-Adnan-2019-1,2019,1200000,1277500
721,Richie-Laryea-2022-1,2022,1170402,1276745
724,Brian-Fernández-2019-1,2019,1200000,1275800
726,Younes-Namli-2021-1,2021,850000,1271000
728,Yony-González-2020-1,2020,1266667,1270667
729,Maximiliano-Urruti-2021-1,2021,1136127,1270146
731,Jordan-Morris-2021-1,2021,1150000,1270100
733,Alejandro-Bedoya-2018-1,2018,1200000,1266250
735,Alejandro-Bedoya-2019-1,2019,1200000,1266250
739,Cristian-Espinoza-2020-1,2020,1150000,1265000
740,Cristian-Espinoza-2021-1,2021,1150000,1265000
742,Cristian-Espinoza-2022-1,2022,1150000,1265000
744,Cristian-Espinoza-2023-1,2023,1150000,1265000
746,Lucas-Cavallini-2020-1,2020,1000000,1262500
747,Everton-Luiz-2021-1,2021,1160000,1260000
750,Allan-Cruz-2022-1,2022,1140000,1254000
752,Liam-Ridgewell-2016-1,2016,1100000,1250000
753,David-Accam-2018-1,2018,1250000,1250000
755,Omar-González-2014-1,2014,1000000,1250000
757,Jordi-Alba-2023-1,2023,1000000,1250000
758,Fredy-Montero-2020-1,2020,1048000,1248000
759,Mauro-Manotas-2019-1,2019,1100050,1245050
761,Aaron-Long-2023-1,2023,1199772,1243056
764,Ali-Adnan-2020-1,2020,1149996,1227496
766,Rod-Fanni-2018-1,2018,1200000,1225000
767,Jesús-Jiménez-2023-1,2023,1100000,1219927
769,Jairo-Torres-2022-1,2022,849996,1219329
770,Kamil-Jozwiak-2023-1,2023,1100000,1217000
772,Kellyn-Acosta-2022-1,2022,1100000,1215000
774,Nélson-Haedo-Valdez-2015-1,2015,960000,1215000
775,Kacper-Przybylko-2022-1,2022,1100004,1212504
777,Kacper-Przybylko-2023-1,2023,1100004,1212504
779,Aljaz-Struna-2019-1,2019,1100000,1210000
781,Aljaz-Struna-2020-1,2020,1100000,1210000
782,Aljaz-Struna-2021-1,2021,1100000,1210000
784,Ilie-Sánchez-2023-1,2023,1207500,1207500
786,Yuya-Kubo-2021-1,2021,1091000,1206750
788,Yuya-Kubo-2022-1,2022,1091000,1206750
790,Yuya-Kubo-2023-1,2023,1091000,1206750
792,Luquinhas-2023-1,2023,1155000,1206042
797,Alejandro-Bedoya-2020-1,2020,990000,1203333
798,Liam-Ridgewell-2014-1,2014,1200000,1200000
799,Cristian-Pavón-2019-1,2019,1200000,1200000
800,Tim-Parker-2021-1,2021,1161800,1199300
801,Talles-Magno-2021-1,2021,950000,1198000
802,Talles-Magno-2022-1,2022,950000,1198000
804,Talles-Magno-2023-1,2023,950000,1198000
806,André-Horta-2018-1,2018,1100000,1198000
807,Alejandro-Bedoya-2017-1,2017,1131000,1197250
809,Omar-González-2019-1,2019,918000,1193936
810,Everton-Luiz-2020-1,2020,1080000,1180000
811,Teenage-Hadebe-2022-1,2022,1014000,1179177
814,Federico-Higuaín-2015-1,2015,1175000,1175000
816,Federico-Higuaín-2016-1,2016,1175000,1175000
818,Luquinhas-2022-1,2022,1050000,1173125
820,Younes-Namli-2020-1,2020,750000,1171000
821,Joakim-Nilsson-2023-1,2023,1102450,1170950
822,Jesús-Medina-2021-1,2021,1050000,1170833
824,Kevin-Doyle-2015-1,2015,1125000,1170000
826,Alejandro-Bedoya-2016-1,2016,1100004,1166254
827,Jonathan-Mensah-2023-1,2023,1025000,1165667
829,Alfredo-Ortuño-2018-1,2018,990000,1162500
832,Ilie-Sánchez-2022-1,2022,1150000,1150000
836,Liam-Ridgewell-2015-1,2015,1000000,1150000
838,Adrián-Cubas-2023-1,2023,1050000,1146375
841,Brian-Rodríguez-2022-1,2022,805000,1144800
842,Enzo-Copetti-2023-1,2023,1000000,1142250
844,Osvaldo-Alonso-2017-1,2017,1100000,1141667
846,Osvaldo-Alonso-2018-1,2018,1100000,1141667
848,Jonathan-Mensah-2021-1,2021,1000000,1140667
850,Jonathan-Mensah-2022-1,2022,1000000,1140667
855,Patryk-Klimala-2021-1,2021,1000000,1135000
857,Patryk-Klimala-2022-1,2022,1000000,1135000
859,Allan-Cruz-2021-1,2021,1020000,1134000
861,Kenny-Miller-2013-1,2013,1114992,1132492
862,Paul-Arriola-2022-1,2022,1100000,1130000
864,Aaron-Salem-Boupendza-2023-1,2023,720000,1127600
865,Teenage-Hadebe-2021-1,2021,960000,1125177
866,Andreu-Fontàs-2021-1,2021,1125000,1125000
868,Andreu-Fontàs-2022-1,2022,1125000,1125000
872,Yuya-Kubo-2020-1,2020,1000000,1122500
873,Matías-Pellegrini-2023-1,2023,1025000,1120833
875,Jordan-Morris-2020-1,2020,1000000,1120100
876,Kevin-Doyle-2016-1,2016,1075000,1120000
878,Rándall-Leal-2023-1,2023,1000000,1115000
880,Kellyn-Acosta-2021-1,2021,1000000,1115000
882,Alejandro-Bedoya-2022-1,2022,900000,1110000
884,Juan-Manuel-Martínez-2015-1,2015,710000,1108667
885,Adam-Buksa-2020-1,2020,1000000,1106250
886,Adam-Buksa-2021-1,2021,1000000,1106250
888,Adam-Buksa-2022-1,2022,1000000,1106250
893,Everton-Luiz-2019-1,2019,1000000,1100000
