,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
73,Alex-Bono-2017-1,2017,Alex-Bono,TOR2017,2760,104,32,72
74,Stefan-Frei-2022-1,2022,Stefan-Frei,SEA2022,2679,123,38,85
75,Alec-Kann-2021-1,2021,Alec-Kann,ATL2021,495,31,8,23
76,Sean-Johnson-2015-1,2015,Sean-Johnson,CHI2015,2032,90,31,59
77,Kristijan-Kahlina-2023-1,2023,Kristijan-Kahlina,CLT2023,2425,111,32,78
78,Bill-Hamid-2017-1,2017,Bill-Hamid,DCU2017,2325,132,32,98
79,Stefan-Frei-2023-1,2023,Stefan-Frei,SEA2023,3188,105,26,77
80,Andrew-Dykstra-2015-1,2015,Andrew-Dykstra,DCU2015,841,57,16,40
81,Matt-Reis-2013-1,2013,Matt-Reis,NER2013,1086,37,7,29
82,Logan-Ketterer-2021-1,2021,Logan-Ketterer,POR2021,297,12,3,9
83,Alec-Kann-2017-1,2017,Alec-Kann,ATL2017,1750,83,23,56
84,Carlos-Coronel-2019-1,2019,Carlos-Coronel,PHI2019,351,11,2,9
85,Steve-Clark-2016-1,2016,Steve-Clark,CLB2016,3101,161,48,112
86,Jeff-Attinella-2018-1,2018,Jeff-Attinella,POR2018,2128,85,21,64
87,Brian-Rowe-2020-1,2020,Brian-Rowe,ORL2020,401,21,5,16
88,Roman-Celentano-2023-1,2023,Roman-Celentano,CIN2023,3332,122,35,86
89,David-Bingham-2019-1,2019,David-Bingham,LAG2019,3257,195,52,141
90,John-McCarthy-2018-1,2018,John-McCarthy,PHI2018,97,6,0,6
91,Travis-Worra-2016-1,2016,Travis-Worra,DCU2016,1251,52,18,34
92,Nick-Rimando-2017-1,2017,Nick-Rimando,RSL2017,2685,110,33,73
93,Andy-Gruenebaum-2013-1,2013,Andy-Gruenebaum,CLB2013,2047,100,28,71
94,Nick-Rimando-2016-1,2016,Nick-Rimando,RSL2016,2925,137,39,91
95,Alex-Bono-2023-1,2023,Alex-Bono,DCU2023,964,39,11,28
96,Brad-Knighton-2013-1,2013,Brad-Knighton,VAN2013,1073,50,14,35
97,Joe-Willis-2020-1,2020,Joe-Willis,NSH2020,2232,92,22,69
98,Stefan-Cleveland-2022-1,2022,Stefan-Cleveland,SEA2022,679,37,8,28
99,Zac-MacMath-2013-1,2013,Zac-MacMath,PHI2013,3324,147,43,101
100,Ryan-Meara-2020-1,2020,Ryan-Meara,NYRB2020,1234,55,16,39
101,Andre-Blake-2017-1,2017,Andre-Blake,PHI2017,2518,125,34,88
102,Tyler-Deric-2015-1,2015,Tyler-Deric,HOU2015,3017,139,42,89
103,Joe-Bendik-2017-1,2017,Joe-Bendik,ORL2017,3218,173,50,118
104,Andre-Blake-2014-1,2014,Andre-Blake,PHI2014,95,8,1,7
105,Bill-Hamid-2018-1,2018,Bill-Hamid,DCU2018,1372,63,12,51
106,Clément-Diop-2016-1,2016,Clément-Diop,LAG2016,193,15,3,11
107,David-Ousted-2016-1,2016,David-Ousted,VAN2016,3209,163,52,107
108,Jimmy-Maurer-2020-1,2020,Jimmy-Maurer,FCD2020,1520,68,13,54
109,Maarten-Paes-2023-1,2023,Maarten-Paes,FCD2023,2916,121,25,94
110,Eloy-Room-2020-1,2020,Eloy-Room,CLB2020,1654,57,15,41
111,Drake-Callender-2022-1,2022,Drake-Callender,MIA2022,2392,116,36,78
112,Adrián-Zendejas-2019-1,2019,Adrián-Zendejas,SKC2019,99,4,1,3
113,Tim-Melia-2023-1,2023,Tim-Melia,SKC2023,1576,69,24,44
114,Stefan-Frei-2017-1,2017,Stefan-Frei,SEA2017,3187,121,36,84
115,Brad-Knighton-2016-1,2016,Brad-Knighton,NER2016,1242,49,16,31
116,Clément-Diop-2021-1,2021,Clément-Diop,MTL2021,799,32,9,23
117,Steve-Clark-2022-1,2022,Steve-Clark,HOU2022,3237,153,46,104
118,Nick-Rimando-2018-1,2018,Nick-Rimando,RSL2018,3202,165,56,103
119,Jaime-Penedo-2015-1,2015,Jaime-Penedo,LAG2015,1550,69,19,50
120,Andrew-Putna-2019-1,2019,Andrew-Putna,RSL2019,493,19,6,12
121,Daniel-Vega-2019-1,2019,Daniel-Vega,SJE2019,3372,164,53,108
122,Stefan-Frei-2020-1,2020,Stefan-Frei,SEA2020,2175,83,22,60
123,Clint-Irwin-2019-1,2019,Clint-Irwin,COL2019,997,58,15,42
124,Eric-Kronberg-2014-1,2014,Eric-Kronberg,SKC2014,1959,73,22,45
125,Evan-Bush-2015-1,2015,Evan-Bush,MTL2015,3006,142,39,99
126,Richard-Sánchez-2017-1,2017,Richard-Sánchez,CHI2017,194,15,4,11
127,Matt-Lampson-2013-1,2013,Matt-Lampson,CLB2013,1264,63,18,43
128,Joe-Nasco-2014-1,2014,Joe-Nasco,COL2014,290,19,6,13
129,Zac-MacMath-2019-1,2019,Zac-MacMath,VAN2019,797,52,11,37
130,Chris-Seitz-2013-1,2013,Chris-Seitz,FCD2013,774,36,11,24
131,Jeff-Attinella-2020-1,2020,Jeff-Attinella,POR2020,96,7,3,4
132,Bill-Hamid-2016-1,2016,Bill-Hamid,DCU2016,1937,93,25,68
133,Matt-Lampson-2016-1,2016,Matt-Lampson,CHI2016,1062,76,18,55
134,Quentin-Westberg-2020-1,2020,Quentin-Westberg,TOR2020,1964,75,25,48
135,Andrew-Weber-2013-1,2013,Andrew-Weber,SEA2013,247,8,3,5
136,Gabriel-Slonina-2021-1,2021,Gabriel-Slonina,CHI2021,1062,60,15,45
137,Jon-Busch-2013-1,2013,Jon-Busch,SJE2013,3224,142,41,101
138,Zac-MacMath-2023-1,2023,Zac-MacMath,RSL2023,2746,121,35,83
139,Stefan-Frei-2016-1,2016,Stefan-Frei,SEA2016,3181,137,41,91
140,Chris-Brady-2022-1,2022,Chris-Brady,CHI2022,95,5,1,4
141,Jeff-Attinella-2017-1,2017,Jeff-Attinella,POR2017,1347,64,19,45
142,Joe-Willis-2018-1,2018,Joe-Willis,HOU2018,2590,124,40,82
143,Evan-Bush-2013-1,2013,Evan-Bush,MTL2013,97,7,1,6
144,Josh-Ford-2015-1,2015,Josh-Ford,ORL2015,106,6,1,5
145,Jacob-Jackson-2023-1,2023,Jacob-Jackson,NER2023,196,13,4,9
146,Clint-Irwin-2017-1,2017,Clint-Irwin,TOR2017,530,18,5,13
147,James-Pantemis-2022-1,2022,James-Pantemis,MTL2022,1104,38,11,26
148,Pedro-Gallese-2021-1,2021,Pedro-Gallese,ORL2021,2200,99,29,67
149,Isaac-Boehmer-2022-1,2022,Isaac-Boehmer,VAN2022,245,12,4,8
150,Cody-Cropper-2016-1,2016,Cody-Cropper,NER2016,95,2,0,2
151,Eric-Kronberg-2015-1,2015,Eric-Kronberg,MTL2015,293,11,5,6
152,Luka-Gavran-2023-1,2023,Luka-Gavran,TOR2023,398,32,12,20
153,Troy-Perkins-2015-1,2015,Troy-Perkins,SEA2015,341,15,3,12
154,Brad-Stuver-2021-1,2021,Brad-Stuver,ATX2021,3277,191,52,136
