,Date,Home_team_ID,HG,Away_team_ID,AG,Year
113,2023-09-02,SKC2023,2,STL2023,1,2023
114,2023-09-02,NSH2023,1,CLT2023,1,2023
115,2023-09-02,NER2023,2,ATX2023,2,2023
116,2023-09-02,DCU2023,3,CHI2023,0,2023
117,2023-09-02,MTL2023,2,CLB2023,3,2023
118,2023-09-02,CIN2023,0,ORL2023,1,2023
119,2023-09-02,NYC2023,1,VAN2023,1,2023
120,2023-08-30,SJE2023,1,LAG2023,3,2023
121,2023-08-30,POR2023,2,RSL2023,1,2023
122,2023-08-30,ATX2023,1,SEA2023,2,2023
123,2023-08-30,MIN2023,3,COL2023,0,2023
124,2023-08-30,HOU2023,2,CLB2023,0,2023
125,2023-08-30,STL2023,2,FCD2023,1,2023
126,2023-08-30,CHI2023,0,VAN2023,1,2023
127,2023-08-30,MIA2023,0,NSH2023,0,2023
128,2023-08-30,ATL2023,1,CIN2023,2,2023
129,2023-08-30,CLT2023,1,ORL2023,1,2023
130,2023-08-30,NYC2023,2,MTL2023,0,2023
131,2023-08-30,NER2023,1,NYRB2023,0,2023
132,2023-08-30,TOR2023,3,PHI2023,1,2023
133,2023-08-27,MIN2023,0,SEA2023,1,2023
134,2023-08-26,LAG2023,3,CHI2023,0,2023
135,2023-08-26,POR2023,2,VAN2023,3,2023
136,2023-08-26,RSL2023,0,HOU2023,3,2023
137,2023-08-26,FCD2023,1,ATX2023,0,2023
138,2023-08-26,SKC2023,3,SJE2023,0,2023
139,2023-08-26,DCU2023,1,PHI2023,3,2023
140,2023-08-26,CIN2023,3,NYC2023,0,2023
141,2023-08-26,CLB2023,2,TOR2023,0,2023
142,2023-08-26,NYRB2023,0,MIA2023,2,2023
143,2023-08-26,MTL2023,1,NER2023,0,2023
144,2023-08-26,ATL2023,4,NSH2023,0,2023
145,2023-08-26,CLT2023,2,LAFC2023,1,2023
146,2023-08-26,ORL2023,2,STL2023,1,2023
147,2023-08-23,LAFC2023,4,COL2023,0,2023
148,2023-08-20,VAN2023,0,SJE2023,1,2023
149,2023-08-20,SEA2023,0,ATL2023,2,2023
150,2023-08-20,STL2023,6,ATX2023,3,2023
