"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Carlos Fierro","SJE","2020","W","1044","21","8","2","2.27","0.15","-0.27","11","3","1.31","1.69","3.58","0.91","1.03"
"","Félix Borja","CHV","2014","ST","1060","24","12","3","3.34","0.78","-0.34","7","0","0.24","-0.24","3.58","1.56","1.91"
"","Gilberto","CHI","2016","ST","681","23","4","0","2.58","-1.14","-2.58","7","2","0.99","1.01","3.57","0.00","1.50"
"","Johan Blomberg","COL","2018","CM","1786","17","2","0","0.70","-0.55","-0.70","16","3","2.87","0.13","3.57","0.00","0.46"
"","Kofi Opare","DCU","2017","CB","2389","32","8","2","2.09","-0.53","-0.09","7","1","1.47","-0.47","3.56","1.65","1.47"
"","Walker Zimmerman","NSH","2021","CB","2227","24","10","3","2.02","0.59","0.98","9","2","1.55","0.45","3.56","1.05","1.63"
"","Will Johnson","ORL","2018","FB","2360","33","13","1","2.89","0.11","-1.89","13","1","0.67","0.33","3.56","0.45","1.50"
"","Efrain Álvarez","LAG","2020","W","787","17","4","1","1.84","-0.46","-0.84","18","1","1.72","-0.72","3.55","0.48","0.92"
"","Andrew Wenger","HOU","2018","FB","1880","14","7","2","2.61","0.97","-0.61","7","1","0.95","0.05","3.55","0.66","1.53"
"","Victor Wanyama","MTL","2021","CM","2598","31","11","2","2.66","-0.59","-0.66","15","0","0.89","-0.89","3.55","0.36","1.22"
"","Rodney Wallace","NYC","2018","W","901","20","4","1","3.15","-1.41","-2.15","6","1","0.40","0.60","3.55","1.06","2.18"
"","Leon Flach","PHI","2021","CM","2889","20","4","1","1.26","-0.77","-0.26","19","1","2.28","-1.28","3.55","0.00","1.07"
"","Latif Blessing","LAFC","2022","CM","1503","16","4","0","2.19","-1.22","-2.19","16","1","1.36","-0.36","3.54","0.00","1.04"
"","Dave Romney","NSH","2022","CB","2907","19","5","3","2.68","-0.11","0.32","4","1","0.87","0.13","3.54","1.58","2.07"
"","Tomas Ostrak","STL","2023","W","1306","32","12","3","2.41","0.77","0.59","12","2","1.12","0.88","3.53","0.27","1.15"
"","Cameron Duke","SKC","2022","CM","1361","12","2","0","1.67","-0.69","-1.67","14","2","1.86","0.14","3.52","0.00","1.50"
"","Scott Caldwell","NER","2015","DM","3100","14","5","2","0.86","0.91","1.14","23","3","2.66","0.34","3.52","0.30","0.45"
"","Lassi Lappalainen","MTL","2019","W","747","17","9","5","3.19","0.82","1.81","5","0","0.33","-0.33","3.52","2.32","1.47"
"","DeJuan Jones","NER","2023","FB","2385","10","7","1","1.39","0.12","-0.39","23","5","2.12","2.88","3.52","0.10","0.65"
"","Bryan Acosta","COL","2022","DM","2084","12","1","0","0.63","-0.60","-0.63","41","2","2.89","-0.89","3.51","0.00","0.59"
"","Rafael Czichos","CHI","2022","CB","2572","19","6","3","2.33","0.63","0.67","7","0","1.18","-1.18","3.51","1.28","1.56"
"","Marvin Loría","POR","2022","W","949","21","7","2","2.79","-0.87","-0.79","13","1","0.71","0.29","3.51","0.19","2.66"
"","Boniek García","HOU","2019","DM","2827","16","3","0","0.99","0.00","-0.99","35","1","2.51","-1.51","3.50","0.00","0.94"
"","Sebastián Saucedo","RSL","2017","W","653","29","8","0","1.57","-0.71","-1.57","11","2","1.94","0.06","3.50","0.00","1.08"
"","Waylon Francis","CLB","2015","FB","2576","10","3","0","0.39","-0.25","-0.39","20","6","3.12","2.88","3.50","0.00","0.25"
"","Walker Zimmerman","LAFC","2018","CB","2547","24","8","4","2.47","0.30","1.53","4","1","1.02","-0.02","3.50","0.95","1.53"
"","Michael Bradley","TOR","2022","DM","3411","15","6","3","1.80","0.32","1.20","26","3","1.69","1.31","3.50","1.19","0.88"
"","Tsiki Ntsabeleng","FCD","2022","CM","951","15","4","1","2.52","-0.28","-1.52","10","0","0.97","-0.97","3.49","1.50","2.12"
"","Keegan Rosenberry","PHI","2016","FB","3304","21","7","2","1.53","0.30","0.47","27","0","1.96","-1.96","3.49","1.36","1.32"
"","Brad Evans","SEA","2014","W","2047","8","2","0","0.76","-0.18","-0.76","29","4","2.72","1.28","3.49","0.00","0.68"
"","Adrien Pérez","DCU","2021","ST","952","26","10","0","1.86","-0.56","-1.86","15","2","1.63","0.37","3.48","0.00","1.11"
