"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Freddy Vargas","FCD","2021","W","607","208","65.4%","70.3%","-10.18","-4.90","17.43","0.86","3.9%","13"
"","John Nelson","FCD","2020","FB","782","349","78.2%","81.1%","-10.19","-2.92","18.56","0.59","6.5%","11"
"","Lassi Lappalainen","MTL","2019","W","747","220","75.9%","80.5%","-10.19","-4.63","14.59","0.25","4.9%","11"
"","Alan Gordon","SJE, LAG","2014","ST","1311","468","73.5%","75.7%","-10.19","-2.18","14.92","-1.08","3.6%","29"
"","Brandon Vincent","CHI","2017","FB","2520","1327","74.5%","75.2%","-10.20","-0.77","20.72","3.80","9.6%","27"
"","Brandt Bronico","CLT","2023","CM","2869","1136","80.1%","81.0%","-10.21","-0.90","19.07","3.64","7.4%","32"
"","Adam Nemec","NYC","2015","ST","617","258","67.4%","71.4%","-10.21","-3.96","14.27","1.19","6.0%","9"
"","Joshua Gatt","COL","2017","W","1164","254","65.0%","69.0%","-10.24","-4.03","18.02","1.91","4.2%","20"
"","Jesús Medina","NYC","2018","W","2148","823","77.4%","78.6%","-10.24","-1.24","16.27","0.91","5.7%","28"
"","Griffin Yow","DCU","2021","FB","290","100","58.0%","68.3%","-10.26","-10.26","19.02","4.25","2.6%","11"
"","Kevin Cabral","LAG","2022","W","1832","535","76.4%","78.4%","-10.27","-1.92","15.63","-1.83","3.6%","33"
"","Ashtone Morgan","RSL","2021","FB","427","196","71.9%","77.2%","-10.29","-5.25","20.82","4.97","4.9%","8"
"","Nick Rimando","RSL","2013","GK","2626","908","61.1%","62.3%","-10.29","-1.13","43.22","36.84","5.8%","27"
"","Tommy Meyer","LAG","2013","CB","533","216","75.9%","80.7%","-10.29","-4.77","24.31","12.30","7.3%","7"
"","Jack McBean","LAG","2017","ST","787","221","65.2%","69.8%","-10.30","-4.66","13.48","0.32","3.1%","18"
"","Omir Fernandez","NYRB","2020","W","642","159","70.4%","76.9%","-10.32","-6.49","14.01","1.23","2.9%","15"
"","Zachary Brault-Guillard","MTL","2021","FB","2243","1066","77.2%","78.2%","-10.34","-0.97","17.68","-1.13","7.1%","30"
"","Pablo Ruiz","RSL","2021","DM","2217","1263","82.8%","83.6%","-10.34","-0.82","22.77","6.15","9.0%","29"
"","Shkëlzen Gashi","COL","2018","ST","924","412","73.3%","75.8%","-10.35","-2.51","18.64","1.24","4.0%","21"
"","Gianluca Busio","SKC","2020","DM","1404","718","80.9%","82.4%","-10.35","-1.44","21.16","2.06","7.9%","19"
"","Cory Burke","PHI","2022","ST","1353","264","57.2%","61.1%","-10.35","-3.92","16.36","3.49","3.1%","33"
"","Paolo Tornaghi","CHI","2013","GK","581","175","46.9%","52.8%","-10.36","-5.92","51.30","45.19","6.1%","6"
"","Joseph Mora","DCU","2021","FB","1686","671","67.2%","68.8%","-10.37","-1.54","19.21","7.34","6.3%","26"
"","Dax McCarty","NYRB","2013","CM","2802","1636","84.5%","85.2%","-10.37","-0.63","19.57","4.61","10.9%","30"
"","Chris Duvall","NYRB","2015","FB","1381","793","71.9%","73.2%","-10.37","-1.31","20.38","7.42","10.3%","15"
"","Carlos Terán","CHI","2021","CB","1050","564","68.1%","69.9%","-10.37","-1.84","25.55","12.59","8.7%","13"
"","Brad Stuver","ATX","2023","GK","3418","1395","75.1%","75.9%","-10.38","-0.74","34.09","26.26","7.8%","34"
"","Leo Chú","SEA","2023","W","2196","695","68.1%","69.5%","-10.38","-1.49","15.01","-0.88","4.9%","32"
"","Deshorn Brown","COL","2014","ST","2447","501","73.0%","75.1%","-10.38","-2.07","16.54","-3.02","5.2%","30"
"","Donovan Ricketts","ORL, LAG","2015","GK","2040","598","59.9%","61.6%","-10.39","-1.74","44.23","36.82","5.3%","21"
"","Joe Willis","HOU","2019","GK","2686","787","65.2%","66.5%","-10.39","-1.32","42.25","34.08","5.7%","27"
"","Santiago Moreno","POR","2023","W","2516","1010","74.5%","75.5%","-10.40","-1.03","17.90","3.42","8.5%","31"
"","Casey Townsend","DCU","2013","ST","353","100","65.0%","75.4%","-10.43","-10.43","16.55","-4.78","2.4%","9"
"","Kevin Doyle","COL","2015","ST","1606","477","69.0%","71.2%","-10.43","-2.19","16.71","1.23","5.9%","20"
"","Joseph Mora","DCU","2018","FB","2748","1130","70.6%","71.5%","-10.44","-0.92","17.54","6.25","8.0%","30"
"","Cole Bassett","COL","2021","AM","2412","931","78.8%","80.0%","-10.44","-1.12","18.21","2.34","6.8%","32"
"","Blas Pérez","FCD","2015","ST","1391","472","65.7%","67.9%","-10.45","-2.21","15.76","2.90","4.8%","23"
"","Ignacio Piatti","MTL","2019","W","829","243","75.3%","79.6%","-10.45","-4.30","18.88","0.71","6.1%","11"
"","Lucas Esteves","COL","2022","FB","2503","1094","75.0%","76.0%","-10.45","-0.96","19.53","2.15","8.6%","30"
"","Dan Kennedy","CHV","2013","GK","2980","1187","55.1%","56.0%","-10.46","-0.88","47.14","41.50","8.4%","31"
"","Fredrik Gulbrandsen","NYRB","2017","ST","410","80","58.8%","71.8%","-10.46","-13.08","12.54","-0.26","2.1%","12"
"","Khiry Shelton","SKC","2021","W","2453","506","78.1%","80.1%","-10.47","-2.07","14.82","-2.26","4.2%","31"
"","Brian Carroll","PHI","2016","DM","2249","917","82.2%","83.4%","-10.48","-1.14","22.96","6.09","7.9%","26"
"","Latif Blessing","SKC","2017","W","1552","383","77.5%","80.3%","-10.49","-2.74","16.78","-1.43","4.1%","25"
"","Dillon Serna","COL","2017","W","1052","331","67.7%","70.8%","-10.50","-3.17","21.24","4.92","4.6%","19"
"","Mauro Manotas","HOU","2020","ST","1449","346","76.3%","79.3%","-10.50","-3.03","14.24","-2.16","4.4%","20"
"","Mike Grella","NYRB","2017","W","390","191","75.4%","80.9%","-10.50","-5.50","14.38","1.95","4.9%","8"
"","Alex","HOU","2017","CM","2469","1073","74.0%","75.0%","-10.51","-0.98","21.50","5.03","8.8%","32"
"","Noel Buck","NER","2023","CM","1913","785","82.9%","84.3%","-10.52","-1.34","17.90","2.23","6.7%","25"
"","Jason Hernandez","SJE","2013","CB","1817","513","80.3%","82.4%","-10.52","-2.05","23.65","10.27","6.6%","21"
"","Sergio Santos","CIN","2023","ST","1049","241","70.5%","74.9%","-10.53","-4.37","14.79","0.43","2.8%","25"
"","Luiz Araújo","ATL","2023","W","1390","535","78.3%","80.3%","-10.54","-1.97","20.03","-0.06","7.6%","16"
"","David Guzmán","POR, CLB","2019","DM","1629","881","81.5%","82.7%","-10.55","-1.20","22.18","5.09","8.9%","21"
"","Kevin Cabral","COL","2023","ST","1312","248","74.6%","78.9%","-10.58","-4.27","16.03","-2.44","2.7%","27"
"","Jeff Attinella","RSL","2016","GK","395","130","39.2%","47.4%","-10.58","-8.14","52.32","47.10","7.5%","4"
"","Carlos Gruezo","SJE","2023","DM","2388","985","85.3%","86.4%","-10.61","-1.08","21.47","5.15","6.9%","28"
"","Cordell Cato","SJE","2014","W","1728","645","67.3%","68.9%","-10.62","-1.65","18.50","4.43","5.7%","27"
"","Jozy Altidore","NER","2022","ST","676","175","71.4%","77.5%","-10.62","-6.07","15.35","0.62","2.0%","17"
"","Luis Solignac","COL","2015","ST","1314","355","70.7%","73.7%","-10.63","-2.99","16.28","-1.86","6.3%","15"
