,Season,Player,Team,Position,Minutes,Shots,SoT,G,Player_ID,Count
123,2021,Kevin-Cabral,LAG,W,2182,48,24,5,Kevin-Cabral-2021-1,1
124,2021,Cole-Bassett,COL,AM,2412,60,19,5,Cole-Bassett-2021-1,1
125,2023,Julian-Gressel,"CLB,-VAN",CM,2243,39,12,4,Julian-Gressel-2023-1,1
126,2022,Diego-Fagundez,ATX,W,2952,37,12,6,Diego-Fagundez-2022-1,1
127,2021,Franco-Jara,FCD,ST,1410,59,19,7,Franco-Jara-2021-1,1
128,2021,Ezequiel-Barco,ATL,ST,2330,61,20,7,Ezequiel-Barco-2021-1,1
129,2021,Carlos-Vela,LAFC,W,1402,59,18,5,Carlos-Vela-2021-1,1
130,2022,Ola-Kamara,DCU,ST,1652,36,21,9,Ola-Kamara-2022-1,1
131,2022,Kwadwo-Opoku,LAFC,W,1946,58,25,7,Kwadwo-Opoku-2022-1,1
132,2023,Leonardo-Campana,MIA,ST,1713,52,23,9,Leonardo-Campana-2023-1,1
133,2023,Santiago-Rodríguez,NYC,AM,2786,46,16,5,Santiago-Rodríguez-2023-1,1
134,2021,Adrien-Hunou,MIN,ST,1823,66,24,7,Adrien-Hunou-2021-1,1
135,2021,Gadi-Kinda,SKC,CM,2200,51,25,5,Gadi-Kinda-2021-1,1
136,2023,Mateusz-Klich,DCU,CM,3025,43,17,4,Mateusz-Klich-2023-1,1
137,2022,Ronaldo-Cisneros,ATL,ST,1867,48,18,7,Ronaldo-Cisneros-2022-1,1
138,2022,Fafa-Picault,HOU,W,2604,58,23,7,Fafa-Picault-2022-1,1
139,2022,Maximiliano-Morález,NYC,AM,2321,40,14,2,Maximiliano-Morález-2022-1,1
140,2021,Diego-Rossi,LAFC,ST,1823,63,24,6,Diego-Rossi-2021-1,1
141,2021,Yimmi-Chará,POR,W,2491,44,16,6,Yimmi-Chará-2021-1,1
142,2021,Franco-Fragapane,MIN,W,1635,30,10,5,Franco-Fragapane-2021-1,1
143,2022,José-Cifuentes,LAFC,CM,2557,56,23,7,José-Cifuentes-2022-1,1
144,2022,Mikael-Uhre,PHI,ST,1758,47,32,13,Mikael-Uhre-2022-1,1
145,2021,Alan-Pulido,SKC,ST,1578,59,16,8,Alan-Pulido-2021-1,1
146,2022,Michael-Barrios,COL,W,2087,46,12,2,Michael-Barrios-2022-1,1
147,2023,Nicolás-Lodeiro,SEA,AM,2717,47,12,1,Nicolás-Lodeiro-2023-1,1
148,2023,Kwadwo-Opoku,"MTL,-LAFC",W,2183,53,19,6,Kwadwo-Opoku-2023-1,1
149,2022,Dániel-Sallói,SKC,W,2759,72,28,7,Dániel-Sallói-2022-1,1
150,2022,Dejan-Joveljic,LAG,ST,1194,34,22,11,Dejan-Joveljic-2022-1,1
151,2022,Leonardo-Campana,MIA,ST,1732,54,25,11,Leonardo-Campana-2022-1,1
152,2022,Jhon-Durán,CHI,ST,1534,60,24,8,Jhon-Durán-2022-1,1
153,2021,Sebastián-Blanco,POR,AM,1312,43,20,7,Sebastián-Blanco-2021-1,1
154,2023,Santiago-Moreno,POR,W,2416,39,16,3,Santiago-Moreno-2023-1,1
155,2022,Josef-Martínez,ATL,ST,1637,49,21,9,Josef-Martínez-2022-1,1
156,2023,Héctor-Herrera,HOU,CM,2733,65,24,4,Héctor-Herrera-2023-1,1
157,2022,Derrick-Etienne,CLB,W,2431,49,21,9,Derrick-Etienne-2022-1,1
158,2021,Nani,ORL,W,1993,65,25,10,Nani-2021-1,1
159,2023,Jáder-Obrian,FCD,W,2033,23,9,5,Jáder-Obrian-2023-1,1
160,2023,Evander,POR,AM,2309,70,28,9,Evander-2023-1,1
161,2023,Emiliano-Rigoni,ATX,W,2310,46,22,5,Emiliano-Rigoni-2023-1,1
162,2023,Eduard-Löwen,STL,CM,2462,75,26,6,Eduard-Löwen-2023-1,1
163,2022,Robin-Lod,MIN,W,2702,59,21,6,Robin-Lod-2022-1,1
164,2022,Yimmi-Chará,POR,W,2998,46,16,4,Yimmi-Chará-2022-1,1
165,2022,Facundo-Torres,ORL,W,2798,53,14,9,Facundo-Torres-2022-1,1
166,2022,Franco-Fragapane,MIN,W,2170,34,15,7,Franco-Fragapane-2022-1,1
167,2023,Martín-Ojeda,ORL,W,1862,64,26,6,Martín-Ojeda-2023-1,1
168,2021,Diego-Fagundez,ATX,W,2757,49,21,7,Diego-Fagundez-2021-1,1
169,2023,Leo-Chú,SEA,W,2113,39,16,5,Leo-Chú-2023-1,1
170,2022,Jaroslaw-Niezgoda,POR,ST,2156,36,18,9,Jaroslaw-Niezgoda-2022-1,1
171,2022,Lucas-Cavallini,VAN,ST,1666,53,20,9,Lucas-Cavallini-2022-1,1
172,2023,Alexandru-Matan,CLB,AM,2402,29,8,1,Alexandru-Matan-2023-1,1
173,2021,Yeferson-Soteldo,TOR,W,1888,45,17,3,Yeferson-Soteldo-2021-1,1
174,2021,Tajon-Buchanan,NER,W,1868,61,23,8,Tajon-Buchanan-2021-1,1
175,2022,Justin-Meram,RSL,W,2451,38,11,3,Justin-Meram-2022-1,1
176,2021,Rándall-Leal,NSH,W,2308,67,33,8,Rándall-Leal-2021-1,1
177,2021,Cristian-Espinoza,SJE,W,2431,53,19,3,Cristian-Espinoza-2021-1,1
178,2021,Déiber-Caicedo,VAN,W,2449,51,18,5,Déiber-Caicedo-2021-1,1
179,2021,Maximiliano-Urruti,HOU,ST,2446,78,27,7,Maximiliano-Urruti-2021-1,1
180,2021,Sergio-Santos,PHI,ST,1485,45,22,6,Sergio-Santos-2021-1,1
181,2023,Josef-Martínez,MIA,ST,1934,44,19,7,Josef-Martínez-2023-1,1
182,2021,Jáder-Obrian,FCD,W,2370,47,24,9,Jáder-Obrian-2021-1,1
183,2021,Dairon-Asprilla,POR,W,2281,63,23,10,Dairon-Asprilla-2021-1,1
184,2022,Jonathan-Lewis,COL,W,2418,57,24,5,Jonathan-Lewis-2022-1,1
185,2023,Jefferson-Savarino,RSL,W,2105,70,24,7,Jefferson-Savarino-2023-1,1
186,2023,Brian-Gutierrez,CHI,W,2513,44,11,2,Brian-Gutierrez-2023-1,1
187,2022,Jamiro-Monteiro,SJE,AM,2847,36,15,4,Jamiro-Monteiro-2022-1,1
188,2022,Chris-Mueller,CHI,W,2132,48,19,4,Chris-Mueller-2022-1,1
189,2022,Taxiarchis-Fountas,DCU,AM,1613,80,33,12,Taxiarchis-Fountas-2022-1,1
190,2022,Kei-Kamara,MTL,ST,1751,45,17,9,Kei-Kamara-2022-1,1
191,2022,Federico-Bernardeschi,TOR,W,1202,40,16,8,Federico-Bernardeschi-2022-1,1
192,2023,Corey-Baird,HOU,ST,2480,36,18,8,Corey-Baird-2023-1,1
193,2022,Gustavo-Bou,NER,ST,1740,73,31,8,Gustavo-Bou-2022-1,1
194,2021,Paul-Arriola,DCU,W,1453,39,11,6,Paul-Arriola-2021-1,1
195,2022,Cory-Burke,PHI,ST,1353,43,17,7,Cory-Burke-2022-1,1
196,2021,Víctor-Vázquez,LAG,AM,1762,26,10,3,Víctor-Vázquez-2021-1,1
197,2022,Alan-Velasco,FCD,W,2064,57,18,6,Alan-Velasco-2022-1,1
198,2021,Lewis-Morgan,MIA,W,3067,47,16,2,Lewis-Morgan-2021-1,1
199,2022,Jefferson-Savarino,RSL,ST,1668,55,21,7,Jefferson-Savarino-2022-1,1
200,2021,Tesho-Akindele,ORL,ST,1554,29,11,3,Tesho-Akindele-2021-1,1
201,2022,Cucho-Hernández,CLB,ST,1445,88,30,9,Cucho-Hernández-2022-1,1
202,2023,Xherdan-Shaqiri,CHI,AM,2183,32,11,5,Xherdan-Shaqiri-2023-1,1
203,2022,Daniel-Ríos,CLT,ST,1558,38,14,7,Daniel-Ríos-2022-1,1
204,2021,Pedro-Santos,CLB,W,2792,55,22,4,Pedro-Santos-2021-1,1
205,2022,Ariel-Lassiter,MIA,W,1790,49,22,4,Ariel-Lassiter-2022-1,1
206,2023,Talles-Magno,NYC,W,2025,46,28,4,Talles-Magno-2023-1,1
207,2022,William-Agada,SKC,ST,1002,41,22,8,William-Agada-2022-1,1
208,2023,Elias-Manoel,NYRB,ST,1740,39,14,3,Elias-Manoel-2023-1,1
209,2022,Brooks-Lennon,ATL,FB,2249,17,9,2,Brooks-Lennon-2022-1,1
210,2022,Raúl-Ruidíaz,SEA,ST,1419,51,22,9,Raúl-Ruidíaz-2022-1,1
211,2021,Fredy-Montero,SEA,ST,1644,54,26,7,Fredy-Montero-2021-1,1
212,2021,Chris-Wondolowski,SJE,ST,1427,45,18,5,Chris-Wondolowski-2021-1,1
213,2021,Samuel-Grandsir,LAG,W,2226,56,19,3,Samuel-Grandsir-2021-1,1
214,2022,Marcelino-Moreno,ATL,AM,1957,56,17,2,Marcelino-Moreno-2022-1,1
215,2023,Iván-Angulo,ORL,W,2680,45,15,5,Iván-Angulo-2023-1,1
216,2023,Omir-Fernandez,NYRB,W,1867,39,16,6,Omir-Fernandez-2023-1,1
217,2022,Kacper-Przybylko,CHI,ST,1742,46,15,5,Kacper-Przybylko-2022-1,1
218,2021,Daniel-Gazdag,PHI,AM,1445,35,13,4,Daniel-Gazdag-2021-1,1
219,2021,Diego-Rubio,COL,ST,1810,51,17,5,Diego-Rubio-2021-1,1
220,2023,Connor-Ronan,COL,CM,3001,25,6,1,Connor-Ronan-2023-1,1
221,2022,Alexander-Ring,ATX,DM,3066,41,15,4,Alexander-Ring-2022-1,1
222,2022,Kevin-Cabral,LAG,W,1832,35,11,1,Kevin-Cabral-2022-1,1
223,2023,Franck-Boli,POR,ST,1566,51,21,7,Franck-Boli-2023-1,1
224,2021,Álvaro-Medrán,CHI,CM,2488,53,21,3,Álvaro-Medrán-2021-1,1
225,2022,Maximiliano-Urruti,ATX,ST,2363,58,19,9,Maximiliano-Urruti-2022-1,1
226,2023,Tom-Barlow,NYRB,ST,1961,31,15,3,Tom-Barlow-2023-1,1
227,2022,Rándall-Leal,NSH,AM,2277,60,16,2,Rándall-Leal-2022-1,1
228,2021,Cade-Cowell,SJE,W,1847,42,19,5,Cade-Cowell-2021-1,1
229,2023,Hassani-Dotson,MIN,DM,2717,47,15,3,Hassani-Dotson-2023-1,1
230,2021,Jonathan-Lewis,COL,ST,1435,43,16,7,Jonathan-Lewis-2021-1,1
231,2023,Teemu-Pukki,MIN,ST,1008,38,20,10,Teemu-Pukki-2023-1,1
232,2023,Gabriel-Pereira,NYC,W,1706,49,22,6,Gabriel-Pereira-2023-1,1
233,2022,Mauricio-Pereyra,ORL,AM,2720,33,10,1,Mauricio-Pereyra-2022-1,1
234,2023,Mathieu-Choinière,MTL,CM,2661,39,17,5,Mathieu-Choinière-2023-1,1
235,2023,Duncan-McGuire,ORL,ST,1503,31,22,11,Duncan-McGuire-2023-1,1
236,2023,Paul-Arriola,FCD,W,1723,27,9,2,Paul-Arriola-2023-1,1
237,2022,Julian-Gressel,"VAN,-DCU",FB,2557,33,11,2,Julian-Gressel-2022-1,1
238,2022,Alexandre-Pato,ORL,ST,1339,40,13,3,Alexandre-Pato-2022-1,1
239,2022,Pablo-Ruiz,RSL,CM,2629,46,13,2,Pablo-Ruiz-2022-1,1
240,2021,Jeremy-Ebobisse,"POR,-SJE",ST,1887,48,26,5,Jeremy-Ebobisse-2021-1,1
241,2022,Cristian-Roldan,SEA,W,2297,36,13,4,Cristian-Roldan-2022-1,1
242,2023,Brooks-Lennon,ATL,FB,3226,19,8,4,Brooks-Lennon-2023-1,1
243,2023,Héber,SEA,ST,1204,38,13,2,Héber-2023-1,1
244,2023,Christian-Ramirez,CLB,ST,1716,45,15,8,Christian-Ramirez-2023-1,1
245,2023,Erik-Thommy,SKC,CM,2713,79,27,5,Erik-Thommy-2023-1,1
246,2023,Lorenzo-Insigne,TOR,W,1556,61,20,4,Lorenzo-Insigne-2023-1,1
247,2021,Darwin-Quintero,HOU,AM,1137,38,17,3,Darwin-Quintero-2021-1,1
248,2022,Alejandro-Bedoya,PHI,CM,2677,36,13,6,Alejandro-Bedoya-2022-1,1
249,2022,Gabriel-Pereira,NYC,W,1486,33,16,8,Gabriel-Pereira-2022-1,1
250,2021,João-Paulo,SEA,CM,2756,28,11,3,João-Paulo-2021-1,1
251,2021,Andre-Shinyashiki,COL,AM,1583,45,17,4,Andre-Shinyashiki-2021-1,1
252,2021,Ryan-Gauld,VAN,AM,1427,36,19,4,Ryan-Gauld-2021-1,1
253,2022,Bongokuhle-Hlongwane,MIN,W,1754,44,19,2,Bongokuhle-Hlongwane-2022-1,1
254,2021,Derrick-Etienne,CLB,W,1992,26,9,1,Derrick-Etienne-2021-1,1
255,2023,Bobby-Wood,NER,ST,1613,31,12,7,Bobby-Wood-2023-1,1
256,2023,Johnny-Russell,SKC,W,1746,35,15,6,Johnny-Russell-2023-1,1
257,2023,Mender-García,MIN,ST,1152,25,9,3,Mender-García-2023-1,1
258,2021,Jamiro-Monteiro,PHI,AM,2521,38,13,2,Jamiro-Monteiro-2021-1,1
259,2022,Efrain-Álvarez,LAG,W,1566,49,17,3,Efrain-Álvarez-2022-1,1
260,2021,Sebastián-Driussi,ATX,AM,1487,38,16,5,Sebastián-Driussi-2021-1,1
261,2022,Kai-Wagner,PHI,FB,3278,14,2,0,Kai-Wagner-2022-1,1
262,2022,Brian-White,VAN,ST,1805,41,19,4,Brian-White-2022-1,1
263,2022,Brandon-Bye,NER,FB,2806,34,9,2,Brandon-Bye-2022-1,1
264,2023,Ibrahim-Sunusi,MTL,ST,1213,32,9,2,Ibrahim-Sunusi-2023-1,1
265,2021,Daryl-Dike,ORL,ST,1445,33,15,10,Daryl-Dike-2021-1,1
266,2023,Andres-Gomez,RSL,W,1538,43,18,1,Andres-Gomez-2023-1,1
267,2021,Anderson-Julio,RSL,W,1151,34,16,8,Anderson-Julio-2021-1,1
268,2023,Maren-Haile-Selassie,CHI,W,2101,26,12,6,Maren-Haile-Selassie-2023-1,1
269,2021,Alejandro-Pozuelo,TOR,AM,1476,29,11,1,Alejandro-Pozuelo-2021-1,1
270,2022,Fredy-Montero,SEA,ST,1410,43,16,4,Fredy-Montero-2022-1,1
271,2022,Sergio-Santos,"CIN,-PHI",ST,842,20,5,1,Sergio-Santos-2022-1,1
272,2021,Brooks-Lennon,ATL,FB,2891,10,4,0,Brooks-Lennon-2021-1,1
273,2021,Joaquín-Torres,MTL,AM,2057,37,14,4,Joaquín-Torres-2021-1,1
274,2021,Mauricio-Pereyra,ORL,AM,2322,25,9,1,Mauricio-Pereyra-2021-1,1
275,2021,Benji-Michel,ORL,W,2078,35,14,4,Benji-Michel-2021-1,1
276,2023,Giacomo-Vrioni,NER,ST,1437,40,18,6,Giacomo-Vrioni-2023-1,1
277,2021,Sacha-Kljestan,LAG,CM,1575,20,9,5,Sacha-Kljestan-2021-1,1
278,2021,Diego-Valeri,POR,AM,1385,35,11,2,Diego-Valeri-2021-1,1
279,2021,Cristian-Cásseres-Jr,NYRB,W,2264,41,16,6,Cristian-Cásseres-Jr-2021-1,1
280,2021,Tomás-Pochettino,ATX,CM,2415,64,14,2,Tomás-Pochettino-2021-1,1
281,2022,Lassi-Lappalainen,MTL,FB,2097,28,11,3,Lassi-Lappalainen-2022-1,1
282,2022,Júnior-Urso,ORL,DM,2817,50,21,5,Júnior-Urso-2022-1,1
283,2022,Maikel-Chang,RSL,W,1988,27,9,2,Maikel-Chang-2022-1,1
284,2022,Robert-Taylor,MIA,W,2409,40,13,3,Robert-Taylor-2022-1,1
285,2023,Theodore-Ku-Dipietro,DCU,W,1335,30,13,5,Theodore-Ku-Dipietro-2023-1,1
286,2021,Luka-Stojanovic,CHI,CM,1496,45,18,8,Luka-Stojanovic-2021-1,1
287,2022,Héber,NYC,ST,1171,34,15,8,Héber-2022-1,1
288,2023,Jacob-Shaffelburg,NSH,W,1442,30,9,3,Jacob-Shaffelburg-2023-1,1
