,Date,Home_team_ID,HG,Away_team_ID,AG
127,2023-08-26,CLB2023,2,TOR2023,0
128,2023-08-26,NYRB2023,0,MIA2023,2
129,2023-08-26,MTL2023,1,NER2023,0
130,2023-08-26,ATL2023,4,NSH2023,0
131,2023-08-26,CLT2023,2,LAFC2023,1
132,2023-08-26,ORL2023,2,STL2023,1
133,2023-08-23,LAFC2023,4,COL2023,0
134,2023-08-20,VAN2023,0,SJE2023,1
135,2023-08-20,SEA2023,0,ATL2023,2
136,2023-08-20,STL2023,6,ATX2023,3
137,2023-08-20,HOU2023,5,POR2023,0
138,2023-08-20,CHI2023,1,ORL2023,3
139,2023-08-20,NYRB2023,1,DCU2023,0
140,2023-08-20,CLB2023,3,CIN2023,0
141,2023-08-20,TOR2023,2,MTL2023,2
142,2023-08-20,NYC2023,0,MIN2023,2
143,2023-07-15,POR2023,3,CLB2023,2
144,2023-07-15,SEA2023,0,FCD2023,1
145,2023-07-15,VAN2023,4,LAG2023,2
146,2023-07-15,COL2023,0,HOU2023,0
147,2023-07-15,RSL2023,3,NYRB2023,1
148,2023-07-15,ATX2023,2,SKC2023,1
149,2023-07-15,STL2023,3,MIA2023,0
150,2023-07-15,CIN2023,3,NSH2023,1
151,2023-07-15,CHI2023,1,TOR2023,0
152,2023-07-15,MIN2023,1,LAFC2023,1
153,2023-07-15,MTL2023,2,CLT2023,0
154,2023-07-15,ATL2023,1,ORL2023,2
155,2023-07-15,NER2023,3,DCU2023,0
156,2023-07-15,PHI2023,2,NYC2023,1
157,2023-07-12,LAFC2023,3,STL2023,0
158,2023-07-12,SJE2023,2,SEA2023,0
159,2023-07-12,VAN2023,2,ATX2023,1
160,2023-07-12,CHI2023,3,MTL2023,0
161,2023-07-12,COL2023,0,POR2023,0
162,2023-07-12,HOU2023,0,MIN2023,3
163,2023-07-12,SKC2023,2,RSL2023,2
164,2023-07-12,NSH2023,0,PHI2023,2
165,2023-07-12,NER2023,2,ATL2023,1
166,2023-07-12,NYRB2023,1,CIN2023,2
167,2023-07-08,LAFC2023,1,SJE2023,1
168,2023-07-08,LAG2023,2,PHI2023,1
169,2023-07-08,VAN2023,2,SEA2023,3
170,2023-07-08,RSL2023,4,ORL2023,0
171,2023-07-08,COL2023,2,FCD2023,1
172,2023-07-08,MIN2023,1,ATX2023,4
173,2023-07-08,CHI2023,1,NSH2023,0
174,2023-07-08,HOU2023,2,SKC2023,2
175,2023-07-08,CLT2023,2,CIN2023,2
176,2023-07-08,TOR2023,0,STL2023,1
177,2023-07-08,MTL2023,0,ATL2023,1
178,2023-07-08,CLB2023,1,NYC2023,1
179,2023-07-08,NYRB2023,2,NER2023,1
180,2023-07-08,DCU2023,2,MIA2023,2
181,2023-07-05,NYC2023,1,CLT2023,1
182,2023-07-04,LAG2023,2,LAFC2023,1
183,2023-07-04,FCD2023,0,DCU2023,1
184,2023-07-04,MIA2023,2,CLB2023,2
185,2023-07-04,ORL2023,4,TOR2023,0
186,2023-07-02,ATL2023,2,PHI2023,0
187,2023-07-01,SEA2023,1,HOU2023,0
188,2023-07-01,SJE2023,2,LAG2023,2
189,2023-07-01,MTL2023,0,NYC2023,1
190,2023-07-01,SKC2023,3,VAN2023,0
191,2023-07-01,NSH2023,2,DCU2023,0
192,2023-07-01,STL2023,2,COL2023,0
193,2023-07-01,MIN2023,3,POR2023,1
194,2023-07-01,FCD2023,2,LAFC2023,0
195,2023-07-01,CIN2023,2,NER2023,1
196,2023-07-01,ORL2023,3,CHI2023,1
197,2023-07-01,CLB2023,2,NYRB2023,1
198,2023-07-01,TOR2023,0,RSL2023,1
199,2023-07-01,MIA2023,1,ATX2023,1
200,2023-06-24,SJE2023,1,STL2023,2
201,2023-06-24,SEA2023,0,ORL2023,0
202,2023-06-24,LAFC2023,2,VAN2023,3
203,2023-06-24,POR2023,1,NYC2023,1
204,2023-06-24,ATX2023,3,HOU2023,0
205,2023-06-24,COL2023,0,LAG2023,0
206,2023-06-24,RSL2023,2,MIN2023,2
207,2023-06-24,SKC2023,0,CHI2023,1
208,2023-06-24,CLT2023,0,MTL2023,0
209,2023-06-24,NYRB2023,4,ATL2023,0
210,2023-06-24,DCU2023,3,CIN2023,0
211,2023-06-24,CLB2023,1,NSH2023,0
212,2023-06-24,NER2023,2,TOR2023,1
213,2023-06-24,PHI2023,3,MIA2023,1
214,2023-06-21,ATX2023,3,FCD2023,0
215,2023-06-21,LAFC2023,1,SEA2023,0
216,2023-06-21,POR2023,1,CHI2023,2
217,2023-06-21,LAG2023,2,SKC2023,2
218,2023-06-21,STL2023,1,RSL2023,3
219,2023-06-21,HOU2023,4,SJE2023,1
220,2023-06-21,CIN2023,3,TOR2023,0
221,2023-06-21,ATL2023,2,NYC2023,2
222,2023-06-21,NYRB2023,2,CLT2023,2
223,2023-06-21,MTL2023,1,NSH2023,0
224,2023-06-21,ORL2023,2,PHI2023,2
225,2023-06-17,SJE2023,0,POR2023,0
226,2023-06-17,SKC2023,1,LAFC2023,2
227,2023-06-17,NSH2023,3,STL2023,1
228,2023-06-17,DCU2023,1,RSL2023,2
229,2023-06-17,NER2023,3,ORL2023,1
230,2023-06-17,NYC2023,1,CLB2023,1
231,2023-06-14,LAFC2023,0,HOU2023,1
232,2023-06-11,POR2023,1,FCD2023,0
233,2023-06-11,STL2023,1,LAG2023,1
234,2023-06-10,VAN2023,1,CIN2023,1
235,2023-06-10,SJE2023,2,PHI2023,1
236,2023-06-10,RSL2023,0,NYC2023,0
237,2023-06-10,HOU2023,4,LAFC2023,0
238,2023-06-10,SKC2023,4,ATX2023,1
239,2023-06-10,CHI2023,1,CLB2023,2
240,2023-06-10,ORL2023,2,COL2023,0
241,2023-06-10,TOR2023,1,NSH2023,1
242,2023-06-10,ATL2023,3,DCU2023,1
243,2023-06-10,CLT2023,3,SEA2023,3
244,2023-06-10,NER2023,3,MIA2023,1
245,2023-06-10,MTL2023,4,MIN2023,0
246,2023-06-07,LAFC2023,0,ATL2023,0
247,2023-06-07,FCD2023,2,STL2023,0
248,2023-06-03,VAN2023,1,SKC2023,1
249,2023-06-03,COL2023,0,SJE2023,0
250,2023-06-03,STL2023,3,HOU2023,0
251,2023-06-03,ATX2023,1,RSL2023,2
252,2023-06-03,FCD2023,1,NSH2023,1
253,2023-06-03,MIN2023,1,TOR2023,1
254,2023-06-03,CLB2023,4,CLT2023,2
255,2023-06-03,PHI2023,3,MTL2023,0
256,2023-06-03,MIA2023,1,DCU2023,2
257,2023-06-03,NYRB2023,0,ORL2023,3
258,2023-06-03,CIN2023,1,CHI2023,0
259,2023-06-03,SEA2023,0,POR2023,0
260,2023-06-03,NYC2023,0,NER2023,0
261,2023-05-31,SEA2023,0,SJE2023,1
262,2023-05-31,VAN2023,6,HOU2023,2
263,2023-05-31,SKC2023,2,FCD2023,1
264,2023-05-31,RSL2023,2,LAG2023,3
265,2023-05-31,ATX2023,2,MIN2023,1
266,2023-05-31,MIA2023,0,NYRB2023,1
267,2023-05-31,NYC2023,1,CIN2023,3
268,2023-05-31,DCU2023,2,MTL2023,2
269,2023-05-31,TOR2023,0,CHI2023,0
270,2023-05-31,PHI2023,0,CLT2023,0
271,2023-05-31,CLB2023,3,COL2023,2
272,2023-05-31,ATL2023,3,NER2023,3
273,2023-05-28,NSH2023,3,CLB2023,1
274,2023-05-28,SKC2023,3,POR2023,1
275,2023-05-27,SEA2023,1,NYRB2023,0
276,2023-05-27,LAG2023,0,CLT2023,1
277,2023-05-27,SJE2023,1,FCD2023,1
278,2023-05-27,COL2023,0,CIN2023,1
279,2023-05-27,STL2023,2,VAN2023,1
280,2023-05-27,MIN2023,0,RSL2023,1
281,2023-05-27,HOU2023,2,ATX2023,1
282,2023-05-27,NER2023,3,CHI2023,2
283,2023-05-27,NYC2023,1,PHI2023,3
284,2023-05-27,TOR2023,2,DCU2023,1
285,2023-05-27,MTL2023,1,MIA2023,0
286,2023-05-27,ORL2023,1,ATL2023,1
287,2023-05-20,LAFC2023,2,SJE2023,1
288,2023-05-20,POR2023,0,MIN2023,1
289,2023-05-20,VAN2023,1,SEA2023,0
290,2023-05-20,COL2023,2,RSL2023,3
291,2023-05-20,STL2023,4,SKC2023,0
292,2023-05-20,ATX2023,1,TOR2023,0
293,2023-05-20,CHI2023,2,ATL2023,3
294,2023-05-20,FCD2023,1,HOU2023,1
295,2023-05-20,DCU2023,3,LAG2023,0
296,2023-05-20,CLT2023,1,NSH2023,2
297,2023-05-20,MIA2023,1,ORL2023,3
298,2023-05-20,CIN2023,3,CLB2023,2
299,2023-05-20,NYRB2023,2,MTL2023,1
300,2023-05-20,PHI2023,3,NER2023,0
301,2023-05-17,RSL2023,0,POR2023,0
302,2023-05-17,LAFC2023,1,SKC2023,1
303,2023-05-17,SEA2023,1,ATX2023,2
304,2023-05-17,MIN2023,1,HOU2023,0
305,2023-05-17,FCD2023,2,VAN2023,1
306,2023-05-17,NSH2023,2,MIA2023,1
307,2023-05-17,PHI2023,0,DCU2023,0
308,2023-05-17,CLT2023,2,CHI2023,1
309,2023-05-17,ATL2023,4,COL2023,0
310,2023-05-17,CLB2023,2,LAG2023,0
311,2023-05-17,CIN2023,2,MTL2023,0
312,2023-05-17,ORL2023,1,NYC2023,1
313,2023-05-17,TOR2023,0,NYRB2023,0
314,2023-05-14,LAG2023,2,SJE2023,1
315,2023-05-13,POR2023,3,VAN2023,0
316,2023-05-13,COL2023,1,PHI2023,2
317,2023-05-13,RSL2023,0,LAFC2023,3
318,2023-05-13,HOU2023,0,SEA2023,1
319,2023-05-13,SKC2023,3,MIN2023,0
320,2023-05-13,ATX2023,0,FCD2023,1
321,2023-05-13,MIA2023,2,NER2023,1
322,2023-05-13,CLB2023,2,ORL2023,2
323,2023-05-13,DCU2023,1,NSH2023,1
324,2023-05-13,NYRB2023,1,NYC2023,0
325,2023-05-13,MTL2023,2,TOR2023,0
326,2023-05-13,ATL2023,1,CLT2023,3
327,2023-05-13,CHI2023,1,STL2023,0
328,2023-05-07,SEA2023,1,SKC2023,2
329,2023-05-06,VAN2023,3,MIN2023,2
330,2023-05-06,LAG2023,1,COL2023,3
331,2023-05-06,POR2023,2,ATX2023,2
332,2023-05-06,HOU2023,0,RSL2023,0
333,2023-05-06,NSH2023,3,CHI2023,0
334,2023-05-06,CLT2023,2,NYC2023,2
335,2023-05-06,CIN2023,2,DCU2023,1
336,2023-05-06,MTL2023,1,ORL2023,0
337,2023-05-06,TOR2023,0,NER2023,2
338,2023-05-06,SJE2023,2,LAFC2023,1
339,2023-05-06,NYRB2023,0,PHI2023,1
340,2023-05-06,MIA2023,2,ATL2023,1
341,2023-04-30,MIN2023,0,FCD2023,0
342,2023-04-29,VAN2023,0,COL2023,0
343,2023-04-29,RSL2023,0,SEA2023,0
344,2023-04-29,SKC2023,0,MTL2023,2
345,2023-04-29,ATX2023,2,SJE2023,2
346,2023-04-29,STL2023,1,POR2023,2
347,2023-04-29,CHI2023,1,NYRB2023,1
348,2023-04-29,CLB2023,1,MIA2023,2
349,2023-04-29,TOR2023,1,NYC2023,0
350,2023-04-29,DCU2023,3,CLT2023,0
351,2023-04-29,NER2023,1,CIN2023,1
352,2023-04-29,ORL2023,2,LAG2023,0
353,2023-04-29,NSH2023,3,ATL2023,1
354,2023-04-23,ATL2023,1,CHI2023,1
355,2023-04-22,LAG2023,2,ATX2023,0
356,2023-04-22,SEA2023,1,MIN2023,0
357,2023-04-22,COL2023,1,STL2023,1
358,2023-04-22,RSL2023,3,SJE2023,1
359,2023-04-22,NSH2023,1,LAFC2023,1
360,2023-04-22,HOU2023,1,MIA2023,0
361,2023-04-22,CIN2023,2,POR2023,1
362,2023-04-22,ORL2023,1,DCU2023,3
363,2023-04-22,CLT2023,1,CLB2023,0
364,2023-04-22,NER2023,2,SKC2023,1
365,2023-04-22,MTL2023,1,NYRB2023,0
366,2023-04-22,NYC2023,3,FCD2023,1
367,2023-04-22,PHI2023,3,TOR2023,2
368,2023-04-16,LAG2023,2,LAFC2023,3
369,2023-04-15,STL2023,4,CIN2023,1
370,2023-04-15,POR2023,4,SEA2023,1
371,2023-04-15,SJE2023,3,SKC2023,0
372,2023-04-15,FCD2023,2,RSL2023,1
373,2023-04-15,ATX2023,0,VAN2023,0
374,2023-04-15,MIN2023,1,ORL2023,2
375,2023-04-15,CHI2023,1,PHI2023,2
376,2023-04-15,NYRB2023,1,HOU2023,1
377,2023-04-15,CLB2023,1,NER2023,0
378,2023-04-15,TOR2023,2,ATL2023,2
379,2023-04-15,NYC2023,2,NSH2023,1
380,2023-04-15,MTL2023,0,DCU2023,1
381,2023-04-15,CLT2023,2,COL2023,2
382,2023-04-08,SEA2023,2,STL2023,0
383,2023-04-08,VAN2023,1,POR2023,0
384,2023-04-08,RSL2023,3,CLT2023,1
385,2023-04-08,HOU2023,3,LAG2023,0
386,2023-04-08,SKC2023,0,COL2023,1
387,2023-04-08,CHI2023,2,MIN2023,1
388,2023-04-08,NSH2023,0,TOR2023,0
389,2023-04-08,NYC2023,1,ATL2023,1
390,2023-04-08,MIA2023,0,FCD2023,1
391,2023-04-08,CIN2023,1,PHI2023,0
392,2023-04-08,NER2023,4,MTL2023,0
393,2023-04-08,NYRB2023,1,SJE2023,1
394,2023-04-08,DCU2023,0,CLB2023,2
395,2023-04-08,LAFC2023,3,ATX2023,0
396,2023-04-01,VAN2023,5,MTL2023,0
397,2023-04-01,SJE2023,2,HOU2023,1
398,2023-04-01,COL2023,0,LAFC2023,0
399,2023-04-01,PHI2023,0,SKC2023,0
400,2023-04-01,FCD2023,1,POR2023,1
401,2023-04-01,CHI2023,0,DCU2023,0
402,2023-04-01,STL2023,0,MIN2023,1
403,2023-04-01,LAG2023,1,SEA2023,2
404,2023-04-01,ORL2023,0,NSH2023,2
405,2023-04-01,TOR2023,2,CLT2023,2
406,2023-04-01,CIN2023,1,MIA2023,0
407,2023-04-01,ATL2023,1,NYRB2023,0
408,2023-04-01,CLB2023,4,RSL2023,0
409,2023-04-01,NER2023,1,NYC2023,1
410,2023-03-25,SJE2023,0,TOR2023,0
411,2023-03-25,LAFC2023,2,FCD2023,1
412,2023-03-25,RSL2023,0,STL2023,4
413,2023-03-25,SKC2023,1,SEA2023,4
414,2023-03-25,ATX2023,1,COL2023,1
415,2023-03-25,MIN2023,1,VAN2023,1
416,2023-03-25,NSH2023,0,CIN2023,1
417,2023-03-25,HOU2023,1,NYC2023,0
418,2023-03-25,CLT2023,0,NYRB2023,1
419,2023-03-25,PHI2023,1,ORL2023,2
420,2023-03-25,DCU2023,1,NER2023,2
421,2023-03-25,CLB2023,6,ATL2023,1
422,2023-03-25,MIA2023,2,CHI2023,3
423,2023-03-25,POR2023,0,LAG2023,0
424,2023-03-18,LAG2023,1,VAN2023,1
425,2023-03-18,COL2023,1,MIN2023,2
426,2023-03-18,HOU2023,2,ATX2023,0
427,2023-03-18,CHI2023,3,CIN2023,3
428,2023-03-18,STL2023,3,SJE2023,0
429,2023-03-18,FCD2023,2,SKC2023,1
430,2023-03-18,ATL2023,5,POR2023,1
431,2023-03-18,NYC2023,3,DCU2023,2
432,2023-03-18,NYRB2023,2,CLB2023,1
433,2023-03-18,ORL2023,1,CLT2023,2
434,2023-03-18,NER2023,1,NSH2023,0
435,2023-03-18,TOR2023,2,MIA2023,0
436,2023-03-18,MTL2023,3,PHI2023,2
437,2023-03-18,SEA2023,0,LAFC2023,0
438,2023-03-12,LAFC2023,4,NER2023,0
