,Player_ID,Passes,Distance,Vertical,Score,Season
1770,Maximiliano-Urruti-2023-1,135,16.18,-0.1,-6.58,2023
1771,Bobby-Wood-2022-1,206,14.13,-0.8,-6.58,2022
1772,Michael-Nelson-2021-1,242,32.1,23.01,-6.59,2021
1773,Rafael-Navarro-2023-1,146,14.53,0.87,-6.6,2023
1774,George-Campbell-2023-1,1153,21.72,6.21,-6.62,2023
1775,Collen-Warner-2022-1,292,20.59,4.18,-6.63,2022
1776,Daniel-Lovitz-2022-1,1487,23.45,6.47,-6.66,2022
1777,Victor-Wanyama-2021-1,1490,20.62,4.2,-6.66,2021
1778,Daniel-Aceves-2023-1,376,18.96,2.48,-6.74,2023
1779,Tsubasa-Endoh-2021-1,171,16.57,0.74,-6.77,2021
1780,Rida-Zouhir-2022-1,78,18.12,2.85,-6.78,2022
1781,Sean-Rea-2023-1,257,16.53,0.27,-6.78,2023
1782,Emerson-Rodríguez-2022-1,188,15.31,2.06,-6.82,2022
1783,Zac-MacMath-2021-1,244,41.44,34.4,-6.83,2021
1784,Xherdan-Shaqiri-2022-1,1317,20.23,4.65,-6.86,2022
1785,Felipe-Mora-2023-1,182,16.76,-2.21,-6.87,2023
1786,Damian-Rivera-2023-1,69,15.11,-1.04,-6.87,2023
1787,Marco-Angulo-2023-1,367,16.35,0.96,-6.89,2023
1788,Tomás-Avilés-2023-1,533,21.21,6.68,-6.91,2023
1789,Luke-Haakenson-2023-1,77,14.8,3.42,-6.94,2023
1790,Omir-Fernandez-2021-1,201,15.39,2.02,-6.95,2021
1791,Cristian-Arango-2021-1,309,14.18,0.1,-6.97,2021
1792,Fanendo-Adi-2021-1,61,14.35,0.06,-7.02,2021
1793,Christian-Ortíz-2022-1,228,18.71,1.94,-7.02,2022
1794,Jonathan-Sirois-2023-1,1081,34.08,26.6,-7.03,2023
1795,Erik-López-2021-1,251,14.85,-2.13,-7.04,2021
1796,Ahmed-Hamdi-2022-1,159,13.79,-1.19,-7.05,2022
1797,Joseph-Mora-2023-1,115,16.2,7.14,-7.06,2023
1798,Ola-Kamara-2021-1,472,15.05,-0.16,-7.11,2021
1799,Edison-Flores-2021-1,321,18.12,2.61,-7.11,2021
1800,Nicholas-Gioacchini-2022-1,55,13.02,-0.9,-7.14,2022
1801,Brandt-Bronico-2023-1,1098,19.15,3.66,-7.15,2023
1802,Andrés-Reyes-2021-1,680,23.5,10.1,-7.19,2021
1803,Darwin-Quintero-2022-1,932,21.13,6.61,-7.19,2022
1804,Yamil-Asad-2023-1,262,17.01,2.24,-7.25,2023
1805,Sebastien-Ibeagha-2023-1,1296,22.08,8.54,-7.26,2023
1806,Jeremy-Ebobisse-2022-1,692,16.26,-0.18,-7.29,2022
1807,Júnior-Urso-2023-1,85,14.65,-2.83,-7.3,2023
1808,Stephen-Turnbull-2023-1,246,17.39,1.39,-7.31,2023
1809,Quinn-Sullivan-2022-1,98,15.6,1.71,-7.37,2022
1810,Daryl-Dike-2021-1,189,15.17,-3.25,-7.38,2021
1811,Ryan-Raposo-2023-1,661,20.46,1.85,-7.42,2023
1812,Justin-Rennicks-2022-1,114,13.62,-2.43,-7.46,2022
1813,Mark-Anthony-Kaye-2021-1,941,18.33,4.78,-7.47,2021
1814,Nikola-Vujnovic-2022-1,86,13.19,-0.94,-7.51,2022
1815,Célio-Pompeu-2023-1,308,16.22,1.5,-7.52,2023
1816,Szabolcs-Schon-2021-1,331,16.45,-2.28,-7.54,2021
1817,Hugo-Mbongue-2023-1,63,14.18,-3.95,-7.54,2023
1818,Ramiro-Enrique-2023-1,261,14.34,-1.85,-7.55,2023
1819,George-Fochive-2021-1,385,17.45,3.75,-7.55,2021
1820,Tajon-Buchanan-2021-1,598,16.15,-1.1,-7.57,2021
1821,William-Yarbrough-2023-1,654,34.59,25.83,-7.59,2023
1822,Kacper-Przybylko-2022-1,513,14.38,-0.59,-7.64,2022
1823,Chris-Odoi-Atsem-2021-1,133,21.52,9.22,-7.65,2021
1824,Brad-Stuver-2023-1,1348,34.08,26.19,-7.65,2023
1825,Stipe-Biuk-2023-1,442,14.11,-0.99,-7.66,2023
1826,Ben-Bender-2022-1,665,17.28,0.41,-7.66,2022
1827,Christian-Benteke-2022-1,132,14.08,-0.69,-7.69,2022
1828,William-Agada-2022-1,155,16.0,-2.19,-7.7,2022
1829,Roger-Espinoza-2022-1,860,21.3,4.51,-7.7,2022
1830,Jairo-Torres-2022-1,247,15.97,2.89,-7.71,2022
1831,Lassi-Lappalainen-2023-1,377,17.0,0.56,-7.71,2023
1832,Facundo-Quignón-2023-1,1131,18.57,4.1,-7.71,2023
1833,Luka-Gavran-2023-1,144,39.83,34.08,-7.72,2023
1834,Jonathan-Lewis-2021-1,272,15.39,-0.0,-7.72,2021
1835,Nkosi-Burgess-2021-1,1049,25.21,9.73,-7.81,2021
1836,Luis-Díaz-2022-1,442,16.3,-1.25,-7.81,2022
