,Player_ID,Season,Player,TeamID,Minutes,Shots Faced,Goals Conceded,Saves
91,Eloy-Room-2021-1,2021,Eloy-Room,CLB2021,2983,125,39,83
92,John-Pulskamp-2023-1,2023,John-Pulskamp,SKC2023,495,20,7,13
93,Earl-Edwards-Jr.-2022-1,2022,Earl-Edwards-Jr.,NER2022,399,17,8,9
94,Pablo-Sisniega-2022-1,2022,Pablo-Sisniega,CLT2022,196,9,2,7
95,Brad-Knighton-2021-1,2021,Brad-Knighton,NER2021,589,28,6,22
96,Kyle-Morton-2021-1,2021,Kyle-Morton,HOU2021,94,6,2,4
97,William-Yarbrough-2023-1,2023,William-Yarbrough,COL2023,1997,91,25,65
98,Ryan-Meara-2022-1,2022,Ryan-Meara,NYRB2022,102,5,2,2
99,Pedro-Gallese-2023-1,2023,Pedro-Gallese,ORL2023,3031,112,32,78
100,Clint-Irwin-2023-1,2023,Clint-Irwin,MIN2023,405,22,8,14
101,Zac-MacMath-2021-1,2021,Zac-MacMath,RSL2021,646,20,6,14
102,Mason-Stajduhar-2021-1,2021,Mason-Stajduhar,ORL2021,500,16,5,10
103,George-Marks-2022-1,2022,George-Marks,CLT2022,102,3,2,1
104,Pablo-Sisniega-2023-1,2023,Pablo-Sisniega,CLT2023,299,15,6,9
105,Phelipe-2021-1,2021,Phelipe,FCD2021,1035,57,19,36
106,Earl-Edwards-Jr.-2023-1,2023,Earl-Edwards-Jr.,NER2023,983,46,15,30
107,Alec-Kann-2023-1,2023,Alec-Kann,CIN2023,104,5,2,3
108,Michael-Nelson-2022-1,2022,Michael-Nelson,HOU2022,169,13,8,5
109,Quentin-Westberg-2023-1,2023,Quentin-Westberg,ATL2023,550,19,9,10
110,Andrew-Tarbell-2021-1,2021,Andrew-Tarbell,ATX2021,97,5,3,2
111,Bobby-Shuttleworth-2021-1,2021,Bobby-Shuttleworth,CHI2021,2283,110,36,73
112,James-Pantemis-2023-1,2023,James-Pantemis,MTL2023,182,14,5,7
113,Clément-Diop-2022-1,2022,Clément-Diop,MIA2022,298,11,7,4
114,Brad-Guzan-2022-1,2022,Brad-Guzan,ATL2022,667,24,9,14
115,Steve-Clark-2023-1,2023,Steve-Clark,HOU2023,3235,117,36,79
116,Jon-Kempin-2022-1,2022,Jon-Kempin,DCU2022,199,11,5,6
117,Sean-Johnson-2022-1,2022,Sean-Johnson,NYC2022,3441,120,39,80
118,David-Ochoa-2021-1,2021,David-Ochoa,RSL2021,2458,122,38,82
119,Matt-Turner-2022-1,2022,Matt-Turner,NER2022,484,15,7,8
120,Ben-Lundt-2023-1,2023,Ben-Lundt,STL2023,106,7,3,4
121,Clint-Irwin-2021-1,2021,Clint-Irwin,COL2021,98,6,3,3
122,Sebastian-Breza-2021-1,2021,Sebastian-Breza,MTL2021,793,29,8,21
123,Joe-Willis-2022-1,2022,Joe-Willis,NSH2022,3178,138,38,98
124,Adam-Grinwis-2021-1,2021,Adam-Grinwis,ORL2021,196,7,3,4
125,John-McCarthy-2023-1,2023,John-McCarthy,LAFC2023,2518,99,31,67
126,Andrew-Putna-2021-1,2021,Andrew-Putna,RSL2021,243,12,7,5
127,Cody-Cropper-2021-1,2021,Cody-Cropper,CIN2021,96,10,4,6
128,Pablo-Sisniega-2021-1,2021,Pablo-Sisniega,LAFC2021,783,24,10,14
129,Bobby-Shuttleworth-2022-1,2022,Bobby-Shuttleworth,ATL2022,621,21,11,10
130,Bill-Hamid-2022-1,2022,Bill-Hamid,DCU2022,974,52,15,34
131,Sean-Johnson-2023-1,2023,Sean-Johnson,TOR2023,1865,74,21,51
132,Thomas-Hasal-2021-1,2021,Thomas-Hasal,VAN2021,679,35,14,20
133,Mason-Stajduhar-2023-1,2023,Mason-Stajduhar,ORL2023,295,15,6,9
134,Hunter-Sulte-2021-1,2021,Hunter-Sulte,POR2021,127,8,5,3
135,Spencer-Richey-2023-1,2023,Spencer-Richey,CHI2023,485,17,7,10
136,Dayne-St.-Clair-2021-1,2021,Dayne-St.-Clair,MIN2021,395,21,10,11
137,Jonathan-Bond-2021-1,2021,Jonathan-Bond,LAG2021,3069,171,48,121
138,John-Pulskamp-2021-1,2021,John-Pulskamp,SKC2021,584,20,7,13
139,Carlos-Coronel-2023-1,2023,Carlos-Coronel,NYRB2023,3336,89,37,51
140,Alec-Kann-2022-1,2022,Alec-Kann,CIN2022,695,35,13,21
141,Yohei-Takaoka-2023-1,2023,Yohei-Takaoka,VAN2023,3207,135,44,89
142,Matt-Freese-2021-1,2021,Matt-Freese,PHI2021,560,22,7,15
143,Zac-MacMath-2022-1,2022,Zac-MacMath,RSL2022,3361,150,45,102
144,David-Ochoa-2022-1,2022,David-Ochoa,DCU2022,875,49,16,32
145,Chris-Seitz-2021-1,2021,Chris-Seitz,DCU2021,389,18,6,11
146,Brandon-Austin-2021-1,2021,Brandon-Austin,ORL2021,501,16,8,8
147,Andrew-Tarbell-2022-1,2022,Andrew-Tarbell,ATX2022,397,22,7,15
148,Drake-Callender-2023-1,2023,Drake-Callender,MIA2023,3328,173,50,121
149,Jimmy-Maurer-2023-1,2023,Jimmy-Maurer,FCD2023,483,21,8,13
150,Evan-Bush-2021-1,2021,Evan-Bush,CLB2021,396,13,6,7
151,Jimmy-Maurer-2021-1,2021,Jimmy-Maurer,FCD2021,2331,114,36,76
152,Roman-Celentano-2022-1,2022,Roman-Celentano,CIN2022,2674,128,42,85
153,Quentin-Westberg-2021-1,2021,Quentin-Westberg,TOR2021,967,58,22,35
154,Aljaz-Ivacic-2023-1,2023,Aljaz-Ivacic,POR2023,1488,83,26,55
155,Jonathan-Sirois-2023-1,2023,Jonathan-Sirois,MTL2023,3084,138,42,94
156,Jonathan-Klinsmann-2023-1,2023,Jonathan-Klinsmann,LAG2023,938,37,15,22
157,Greg-Ranjitsingh-2023-1,2023,Greg-Ranjitsingh,TOR2023,389,25,10,14
158,John-Pulskamp-2022-1,2022,John-Pulskamp,SKC2022,1139,50,17,32
159,Thomas-Hasal-2022-1,2022,Thomas-Hasal,VAN2022,1655,78,27,49
160,Gavin-Beavers-2023-1,2023,Gavin-Beavers,RSL2023,639,28,14,13
161,Nick-Marsman-2022-1,2022,Nick-Marsman,MIA2022,692,31,12,19
162,Carlos-Coronel-2022-1,2022,Carlos-Coronel,NYRB2022,3302,118,39,73
163,Maxime-Crépeau-2022-1,2022,Maxime-Crépeau,LAFC2022,3297,113,34,76
164,David-Bingham-2023-1,2023,David-Bingham,POR2023,1814,72,26,45
165,Dayne-St.-Clair-2023-1,2023,Dayne-St.-Clair,MIN2023,2859,132,39,91
166,Luis-Barraza-2023-1,2023,Luis-Barraza,NYC2023,2425,92,30,62
167,Kendall-McIntosh-2023-1,2023,Kendall-McIntosh,SKC2023,1333,58,20,38
168,John-McCarthy-2021-1,2021,John-McCarthy,MIA2021,1253,58,20,35
169,Pedro-Gallese-2022-1,2022,Pedro-Gallese,ORL2022,3200,127,47,79
170,Jon-Kempin-2021-1,2021,Jon-Kempin,DCU2021,978,37,16,18
171,Joe-Bendik-2023-1,2023,Joe-Bendik,PHI2023,792,31,12,15
172,Quentin-Westberg-2022-1,2022,Quentin-Westberg,TOR2022,979,59,23,36
173,Alex-Bono-2021-1,2021,Alex-Bono,TOR2021,2374,126,42,82
174,Kenneth-Vermeer-2021-1,2021,Kenneth-Vermeer,CIN2021,1849,94,34,57
175,Michael-Nelson-2021-1,2021,Michael-Nelson,HOU2021,1086,48,17,31
176,Rocco-Rios-Novo-2022-1,2022,Rocco-Rios-Novo,ATL2022,1532,68,27,40
177,Bill-Hamid-2021-1,2021,Bill-Hamid,DCU2021,1987,87,27,60
178,Brad-Guzan-2023-1,2023,Brad-Guzan,ATL2023,2620,98,37,60
179,Cody-Cropper-2022-1,2022,Cody-Cropper,VAN2022,1360,55,24,28
180,James-Pantemis-2021-1,2021,James-Pantemis,MTL2021,1783,83,25,56
181,Tomás-Romero-2021-1,2021,Tomás-Romero,LAFC2021,1799,62,28,33
182,Tim-Melia-2022-1,2022,Tim-Melia,SKC2022,2033,80,34,45
183,Kristijan-Kahlina-2022-1,2022,Kristijan-Kahlina,CLT2022,3081,147,47,97
184,Tyler-Miller-2023-1,2023,Tyler-Miller,DCU2023,2481,101,37,63
185,Marko-Ilic-2023-1,2023,Marko-Ilic,COL2023,1276,70,28,41
186,Przemyslaw-Tyton-2021-1,2021,Przemyslaw-Tyton,CIN2021,1419,89,35,53
187,Jonathan-Bond-2023-1,2023,Jonathan-Bond,LAG2023,2275,123,44,78
188,Rafael-Romo-2022-1,2022,Rafael-Romo,DCU2022,1341,82,32,49
189,Jonathan-Bond-2022-1,2022,Jonathan-Bond,LAG2022,3396,146,51,90
190,Sebastian-Breza-2022-1,2022,Sebastian-Breza,MTL2022,2295,88,37,49
191,William-Yarbrough-2022-1,2022,William-Yarbrough,COL2022,3336,159,54,99
192,JT-Marcinkowski-2022-1,2022,JT-Marcinkowski,SJE2022,3181,182,66,111
