"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Jimmy Maurer","FCD","2021","2331","114","36","76","15.8%","33.12","2.88","1.09"
"","Roman Celentano","CIN","2022","2674","128","42","85","17.2%","39.07","2.93","1.07"
"","Quentin Westberg","TOR","2021","967","58","22","35","17.2%","19.01","2.99","1.16"
"","Aljaz Ivacic","POR","2023","1488","83","26","55","19.3%","22.80","3.20","1.14"
"","Jonathan Sirois","MTL","2023","3084","138","42","94","8.0%","38.72","3.28","1.08"
"","Jonathan Klinsmann","LAG","2023","938","37","15","22","16.2%","11.69","3.31","1.28"
"","Greg Ranjitsingh","TOR","2023","389","25","10","14","12.0%","6.63","3.37","1.51"
"","John Pulskamp","SKC","2022","1139","50","17","32","14.0%","13.58","3.42","1.25"
"","Thomas Hasal","VAN","2022","1655","78","27","49","14.1%","23.49","3.51","1.15"
"","Gavin Beavers","RSL","2023","639","28","14","13","21.4%","10.46","3.54","1.34"
"","Nick Marsman","MIA","2022","692","31","12","19","12.9%","8.33","3.67","1.44"
"","Carlos Coronel","NYRB","2022","3302","118","39","73","16.1%","35.32","3.68","1.10"
"","Maxime Crépeau","LAFC","2022","3297","113","34","76","17.7%","30.27","3.73","1.12"
"","David Bingham","POR","2023","1814","72","26","45","20.8%","22.20","3.80","1.17"
"","Dayne St. Clair","MIN","2023","2859","132","39","91","11.4%","35.07","3.93","1.11"
"","Luis Barraza","NYC","2023","2425","92","30","62","14.1%","26.07","3.93","1.15"
"","Kendall McIntosh","SKC","2023","1333","58","20","38","17.2%","15.95","4.05","1.25"
"","John McCarthy","MIA","2021","1253","58","20","35","12.1%","15.81","4.19","1.27"
"","Pedro Gallese","ORL","2022","3200","127","47","79","15.0%","42.75","4.25","1.10"
"","Jon Kempin","DCU","2021","978","37","16","18","13.5%","11.75","4.25","1.36"
"","Joe Bendik","PHI","2023","792","31","12","15","9.7%","7.72","4.28","1.55"
"","Quentin Westberg","TOR","2022","979","59","23","36","15.3%","18.64","4.36","1.23"
"","Alex Bono","TOR","2021","2374","126","42","82","15.9%","37.47","4.53","1.12"
"","Kenneth Vermeer","CIN","2021","1849","94","34","57","12.8%","29.33","4.67","1.16"
"","Michael Nelson","HOU","2021","1086","48","17","31","6.3%","11.94","5.06","1.42"
"","Rocco Rios Novo","ATL","2022","1532","68","27","40","13.2%","21.82","5.18","1.24"
"","Bill Hamid","DCU","2021","1987","87","27","60","26.4%","21.78","5.22","1.24"
"","Brad Guzan","ATL","2023","2620","98","37","60","11.2%","31.30","5.70","1.18"
"","Cody Cropper","VAN","2022","1360","55","24","28","14.5%","18.03","5.97","1.33"
"","James Pantemis","MTL","2021","1783","83","25","56","19.3%","18.99","6.01","1.32"
"","Tomás Romero","LAFC","2021","1799","62","28","33","16.1%","21.96","6.04","1.28"
"","Tim Melia","SKC","2022","2033","80","34","45","17.5%","27.93","6.07","1.22"
"","Kristijan Kahlina","CLT","2022","3081","147","47","97","10.9%","40.89","6.11","1.15"
"","Tyler Miller","DCU","2023","2481","101","37","63","15.8%","30.83","6.17","1.20"
"","Marko Ilic","COL","2023","1276","70","28","41","18.6%","21.80","6.20","1.28"
"","Przemyslaw Tyton","CIN","2021","1419","89","35","53","14.6%","28.62","6.38","1.22"
"","Jonathan Bond","LAG","2023","2275","123","44","78","13.0%","37.05","6.95","1.19"
"","Rafael Romo","DCU","2022","1341","82","32","49","17.1%","24.04","7.96","1.33"
"","Jonathan Bond","LAG","2022","3396","146","51","90","13.7%","42.69","8.31","1.19"
"","Sebastian Breza","MTL","2022","2295","88","37","49","17.1%","28.53","8.47","1.30"
"","William Yarbrough","COL","2022","3336","159","54","99","13.8%","44.57","9.43","1.21"
"","JT Marcinkowski","SJE","2022","3181","182","66","111","11.5%","55.67","10.33","1.19"
