"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Zac MacMath","RSL","2023","2646","116","35","78","13.8%","34.89","0.11","1.00"
"","David Bingham","POR","2022","197","13","3","10","15.4%","2.86","0.14","1.05"
"","Stefan Cleveland","SEA","2023","203","8","4","4","12.5%","3.83","0.17","1.04"
"","Brad Knighton","NER","2022","398","20","7","13","15.0%","6.81","0.19","1.03"
"","Maxime Crépeau","LAFC","2023","600","15","5","10","26.7%","4.80","0.20","1.04"
"","Chris Brady","CHI","2023","2836","134","41","89","19.4%","40.79","0.21","1.00"
"","Sean Johnson","NYC","2021","2861","115","30","84","12.2%","29.77","0.23","1.01"
"","Joe Willis","NSH","2021","3336","132","31","100","19.7%","30.72","0.28","1.01"
"","Tyler Miller","MIN","2021","2958","134","32","101","14.9%","31.66","0.34","1.01"
"","Elliot Panicco","NSH","2022","194","10","3","7","40.0%","2.65","0.35","1.13"
"","Luis Barraza","NYC","2021","505","12","5","7","0.0%","4.54","0.46","1.10"
"","Daniel Vega","SJE","2021","99","1","1","0","0.0%","0.53","0.47","1.87"
"","Tyler Miller","MIN","2022","245","11","3","8","18.2%","2.52","0.48","1.19"
"","Jimmy Maurer","FCD","2022","203","8","3","5","25.0%","2.51","0.49","1.19"
"","Jamal Blackman","LAFC","2021","812","35","13","21","14.3%","12.50","0.50","1.04"
"","Marko Maric","HOU","2021","2188","104","32","68","18.3%","31.49","0.51","1.02"
"","Stefan Cleveland","SEA","2021","1494","47","17","29","10.6%","16.48","0.52","1.03"
"","Clément Diop","ATL","2023","157","7","4","3","0.0%","3.43","0.57","1.17"
"","Eloy Room","CLB","2023","304","10","3","7","20.0%","2.43","0.57","1.24"
"","Nick Marsman","MIA","2021","2111","101","31","68","19.8%","30.38","0.62","1.02"
"","Eldin Jakupovic","LAFC","2023","201","7","1","6","0.0%","0.36","0.64","2.79"
"","Jonathan Klinsmann","LAG","2021","293","11","4","7","27.3%","3.36","0.64","1.19"
"","Raúl Gudiño","ATL","2022","555","17","7","7","17.6%","6.35","0.65","1.10"
"","Joe Willis","NSH","2023","3104","125","29","94","11.2%","28.26","0.74","1.03"
"","Kendall McIntosh","SKC","2022","190","10","2","8","20.0%","1.24","0.76","1.61"
"","Novak Micovic","LAG","2023","98","6","2","4","16.7%","1.24","0.76","1.62"
"","Abraham Rodriguez","COL","2022","51","5","3","2","0.0%","2.23","0.77","1.34"
"","Eloy Room","CLB","2021","2983","125","39","83","13.6%","38.19","0.81","1.02"
"","John Pulskamp","SKC","2023","495","20","7","13","5.0%","6.18","0.82","1.13"
"","Earl Edwards Jr.","NER","2022","399","17","8","9","11.8%","7.16","0.84","1.12"
"","Pablo Sisniega","CLT","2022","196","9","2","7","11.1%","1.14","0.86","1.76"
"","Brad Knighton","NER","2021","589","28","6","22","14.3%","5.12","0.88","1.17"
"","Kyle Morton","HOU","2021","94","6","2","4","33.3%","1.07","0.93","1.86"
"","William Yarbrough","COL","2023","1997","91","25","65","15.4%","24.06","0.94","1.04"
"","Ryan Meara","NYRB","2022","102","5","2","2","20.0%","1.06","0.94","1.89"
"","Pedro Gallese","ORL","2023","3031","112","32","78","14.3%","31.06","0.94","1.03"
"","Clint Irwin","MIN","2023","405","22","8","14","9.1%","7.00","1.00","1.14"
"","Zac MacMath","RSL","2021","646","20","6","14","10.0%","5.00","1.00","1.20"
"","Mason Stajduhar","ORL","2021","500","16","5","10","18.8%","3.99","1.01","1.25"
"","George Marks","CLT","2022","102","3","2","1","0.0%","0.97","1.03","2.05"
"","Pablo Sisniega","CLT","2023","299","15","6","9","13.3%","4.97","1.03","1.21"
"","Phelipe","FCD","2021","1035","57","19","36","12.3%","17.96","1.04","1.06"
"","Earl Edwards Jr.","NER","2023","983","46","15","30","15.2%","13.94","1.06","1.08"
"","Alec Kann","CIN","2023","104","5","2","3","0.0%","0.93","1.07","2.15"
"","Michael Nelson","HOU","2022","169","13","8","5","15.4%","6.92","1.08","1.16"
"","Quentin Westberg","ATL","2023","550","19","9","10","10.5%","7.92","1.08","1.14"
"","Andrew Tarbell","ATX","2021","97","5","3","2","40.0%","1.85","1.15","1.62"
"","Bobby Shuttleworth","CHI","2021","2283","110","36","73","20.0%","34.78","1.22","1.03"
"","James Pantemis","MTL","2023","182","14","5","7","0.0%","3.77","1.23","1.33"
"","Clément Diop","MIA","2022","298","11","7","4","18.2%","5.77","1.23","1.21"
"","Brad Guzan","ATL","2022","667","24","9","14","25.0%","7.71","1.29","1.17"
"","Steve Clark","HOU","2023","3235","117","36","79","14.5%","34.68","1.32","1.04"
"","Jon Kempin","DCU","2022","199","11","5","6","63.6%","3.67","1.33","1.36"
"","Sean Johnson","NYC","2022","3441","120","39","80","15.0%","37.67","1.33","1.04"
"","David Ochoa","RSL","2021","2458","122","38","82","12.3%","36.65","1.35","1.04"
"","Matt Turner","NER","2022","484","15","7","8","6.7%","5.62","1.38","1.24"
"","Ben Lundt","STL","2023","106","7","3","4","14.3%","1.62","1.38","1.85"
"","Clint Irwin","COL","2021","98","6","3","3","0.0%","1.60","1.40","1.87"
"","Sebastian Breza","MTL","2021","793","29","8","21","10.3%","6.60","1.40","1.21"
"","Joe Willis","NSH","2022","3178","138","38","98","10.9%","36.41","1.59","1.04"
"","Adam Grinwis","ORL","2021","196","7","3","4","14.3%","1.39","1.61","2.15"
"","John McCarthy","LAFC","2023","2518","99","31","67","16.2%","29.38","1.62","1.06"
"","Andrew Putna","RSL","2021","243","12","7","5","41.7%","5.37","1.63","1.30"
"","Cody Cropper","CIN","2021","96","10","4","6","10.0%","2.35","1.65","1.70"
"","Pablo Sisniega","LAFC","2021","783","24","10","14","20.8%","8.31","1.69","1.20"
"","Bobby Shuttleworth","ATL","2022","621","21","11","10","28.6%","9.29","1.71","1.18"
"","Bill Hamid","DCU","2022","974","52","15","34","17.3%","13.16","1.84","1.14"
"","Sean Johnson","TOR","2023","1865","74","21","51","16.2%","19.14","1.86","1.10"
"","Thomas Hasal","VAN","2021","679","35","14","20","17.1%","12.12","1.88","1.15"
"","Mason Stajduhar","ORL","2023","295","15","6","9","6.7%","3.96","2.04","1.51"
"","Hunter Sulte","POR","2021","127","8","5","3","25.0%","2.76","2.24","1.81"
"","Spencer Richey","CHI","2023","485","17","7","10","11.8%","4.75","2.25","1.47"
"","Dayne St. Clair","MIN","2021","395","21","10","11","14.3%","7.74","2.26","1.29"
"","Jonathan Bond","LAG","2021","3069","171","48","121","15.8%","45.73","2.27","1.05"
"","John Pulskamp","SKC","2021","584","20","7","13","5.0%","4.71","2.29","1.49"
"","Carlos Coronel","NYRB","2023","3336","89","37","51","14.6%","34.71","2.29","1.07"
"","Alec Kann","CIN","2022","695","35","13","21","17.1%","10.67","2.33","1.22"
"","Yohei Takaoka","VAN","2023","3207","135","44","89","17.8%","41.59","2.41","1.06"
"","Matt Freese","PHI","2021","560","22","7","15","13.6%","4.58","2.42","1.53"
"","Zac MacMath","RSL","2022","3361","150","45","102","12.7%","42.53","2.47","1.06"
"","David Ochoa","DCU","2022","875","49","16","32","12.2%","13.53","2.47","1.18"
"","Chris Seitz","DCU","2021","389","18","6","11","11.1%","3.51","2.49","1.71"
"","Brandon Austin","ORL","2021","501","16","8","8","18.8%","5.49","2.51","1.46"
"","Andrew Tarbell","ATX","2022","397","22","7","15","4.5%","4.46","2.54","1.57"
"","Drake Callender","MIA","2023","3328","173","50","121","15.0%","47.37","2.63","1.06"
"","Jimmy Maurer","FCD","2023","483","21","8","13","9.5%","5.23","2.77","1.53"
"","Evan Bush","CLB","2021","396","13","6","7","7.7%","3.21","2.79","1.87"
